年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-19,2021-01-19,0.0920,2021-01-21
2019年,2019-12-24,2019-12-24,0.0496,2019-12-26
2016年,2016-08-12,2016-08-12,0.0230,2016-08-16
2015年,2015-10-21,2015-10-21,0.0320,2015-10-23
2007年,2007-09-19,2007-09-19,1.1360,2007-09-21
2007年,2007-01-17,2007-01-17,0.7050,2007-01-19
2006年,2006-12-29,2006-12-29,0.2000,2007-01-05
2006年,2006-08-30,2006-08-30,0.0300,2006-09-01
2006年,2006-07-12,2006-07-12,0.0300,2006-07-14
2006年,2006-06-14,2006-06-14,0.0400,2006-06-16
2006年,2006-05-22,2006-05-22,0.0600,2006-05-24
2006年,2006-04-18,2006-04-18,0.0500,2006-04-20
2006年,2006-03-30,2006-03-30,0.0300,2006-04-03
2006年,2006-03-03,2006-03-03,0.0300,2006-03-07
2006年,2006-02-06,2006-02-06,0.0200,2006-02-08
2004年,2004-04-30,2004-04-30,0.0200,2004-05-10
2004年,2004-04-02,2004-04-02,0.0400,2004-04-05
2004年,2004-02-03,2004-02-03,0.0300,2004-02-04
2003年,2003-12-15,2003-12-15,0.0150,2003-12-16
2003年,2003-12-01,2003-12-01,0.0100,2003-12-02
