年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-19,2021-01-19,0.0139,2021-01-20
2020年,2020-10-23,2020-10-23,0.0302,2020-10-26
2020年,2020-07-15,2020-07-15,0.0328,2020-07-16
2020年,2020-01-17,2020-01-17,0.0048,2020-01-20
2019年,2019-10-23,2019-10-23,0.0159,2019-10-24
2019年,2019-07-16,2019-07-16,0.0145,2019-07-17
2019年,2019-04-17,2019-04-17,0.0064,2019-04-18
2018年,2018-04-19,2018-04-19,0.0251,2018-04-20
2018年,2018-01-17,2018-01-17,0.0112,2018-01-18
2017年,2017-10-24,2017-10-24,0.0046,2017-10-25
2017年,2017-07-18,2017-07-18,0.0049,2017-07-19
2017年,2017-04-19,2017-04-19,0.0318,2017-04-20
2016年,2016-10-25,2016-10-25,0.0098,2016-10-26
2016年,2016-07-18,2016-07-18,0.0333,2016-07-19
2015年,2015-07-16,2015-07-16,0.0343,2015-07-17
2015年,2015-04-21,2015-04-21,0.0500,2015-04-22
2015年,2015-01-21,2015-01-21,0.0168,2015-01-22
2014年,2014-10-27,2014-10-27,0.0120,2014-10-28
2014年,2014-07-18,2014-07-18,0.0180,2014-07-21
2014年,2014-04-18,2014-04-18,0.0120,2014-04-21
2014年,2014-01-17,2014-01-17,0.0112,2014-01-20
2013年,2013-04-18,2013-04-18,0.0150,2013-04-19
2012年,2012-07-10,2012-07-10,0.0150,2012-07-11
2012年,2012-04-16,2012-04-16,0.0100,2012-04-17
2012年,2012-01-16,2012-01-16,0.0187,2012-01-17
2011年,2011-01-21,2011-01-21,0.0100,2011-01-24
2010年,2010-10-15,2010-10-15,0.0210,2010-10-18
2010年,2010-07-28,2010-07-28,0.0250,2010-07-29
2010年,2010-04-08,2010-04-08,0.0330,2010-04-09
2010年,2010-01-20,2010-01-20,0.0400,2010-01-21
2009年,2009-07-07,2009-07-07,0.0100,2009-07-08
2009年,2009-04-07,2009-04-07,0.0100,2009-04-08
2009年,2009-02-25,2009-02-25,0.0080,2009-02-26
2008年,2008-12-24,2008-12-24,0.0130,2008-12-25
