年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-04-09,2020-04-09,0.1474,2020-04-13
2019年,2019-01-17,2019-01-17,0.0430,2019-01-21
2018年,2018-01-16,2018-01-16,0.1010,2018-01-18
2017年,2017-01-19,2017-01-19,0.1010,2017-01-23
2016年,2016-01-19,2016-01-19,0.2500,2016-01-21
2015年,2015-01-19,2015-01-19,0.0900,2015-01-21
2014年,2014-01-17,2014-01-17,0.0600,2014-01-21
2011年,2011-01-12,2011-01-12,0.0100,2011-01-14
2010年,2010-12-08,2010-12-08,0.0100,2010-12-10
2007年,2007-09-19,2007-09-19,0.0200,2007-09-21
2007年,2007-08-13,2007-08-13,1.1000,2007-08-15
2007年,2007-04-16,2007-04-16,0.0500,2007-04-18
2006年,2006-12-11,2006-12-11,0.0100,2006-12-13
