年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-24,2020-12-24,0.8910,2020-12-25
2020年,2020-11-26,2020-11-26,0.9730,2020-11-27
2019年,2019-06-27,2019-06-27,0.6600,2019-06-28
2018年,2018-12-17,2018-12-17,0.1000,2018-12-18
2017年,2017-12-13,2017-12-13,0.1000,2017-12-14
2016年,2016-12-13,2016-12-13,0.1000,2016-12-14
2015年,2015-11-23,2015-11-23,0.1000,2015-11-24
2014年,2014-11-19,2014-11-19,0.1000,2014-11-20
2013年,2013-10-16,2013-10-16,0.1000,2013-10-17
2012年,2012-05-15,2012-05-15,3.0000,2012-05-16
2012年,2012-04-09,2012-04-09,0.1000,2012-04-10
2011年,2011-04-06,2011-04-06,0.1000,2011-04-07
2010年,2010-04-07,2010-04-07,0.1000,2010-04-08
2009年,2009-04-08,2009-04-09,0.1000,2009-04-10
2008年,2008-04-07,2008-04-08,0.1000,2008-04-09
2006年,2006-06-29,2006-06-30,0.0600,2006-07-03
2006年,2006-05-30,2006-05-31,0.0600,2006-06-01
2006年,2006-02-27,2006-02-28,0.0600,2006-03-01
