年份,权益登记日,除息日,每份分红,分红发放日
2019年,2019-07-01,2019-07-01,0.2015,2019-07-05
2014年,2014-10-28,2014-10-28,0.2800,2014-10-29
2011年,2011-01-21,2011-01-21,0.1000,2011-01-24
2010年,2010-01-29,2010-01-29,0.1050,2010-02-01
2008年,2008-11-13,2008-11-13,0.4300,2008-11-14
2008年,2008-09-11,2008-09-11,0.2000,2008-09-12
2007年,2007-01-05,2007-01-05,0.8500,2007-01-08
2006年,2006-02-20,2006-02-20,0.0500,2006-02-21
2005年,2005-12-28,2005-12-28,0.0200,2005-12-29
2005年,2005-09-28,2005-09-28,0.0200,2005-09-29
2005年,2005-03-04,2005-03-04,0.0200,2005-03-07
2004年,2004-12-24,2004-12-24,0.0300,2004-12-27
2004年,2004-03-24,2004-03-24,0.0800,2004-03-25
2004年,2004-01-13,2004-01-13,0.0100,2004-01-14
