年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-18,2021-01-18,0.0100,2021-01-19
2020年,2020-01-16,2020-01-16,0.0100,2020-01-17
2018年,2018-01-15,2018-01-15,0.0100,2018-01-16
2016年,2016-01-18,2016-01-18,0.0100,2016-01-19
2015年,2015-01-22,2015-01-22,0.0089,2015-01-23
2014年,2014-01-17,2014-01-17,0.0075,2014-01-20
2013年,2013-01-22,2013-01-22,0.0028,2013-01-23
2010年,2010-03-31,2010-03-31,0.0100,2010-04-01
2007年,2007-06-27,2007-06-27,0.0500,2007-06-28
2006年,2006-11-03,2006-11-03,0.4880,2006-11-06
2006年,2006-06-27,2006-06-28,0.0300,2006-06-29
2006年,2006-06-14,2006-06-15,0.0300,2006-06-16
2006年,2006-04-06,2006-04-07,0.0400,2006-04-10
2004年,2004-11-15,2004-11-16,0.0200,2004-11-17
2004年,2004-06-25,2004-06-28,0.0150,2004-06-29
2004年,2004-03-01,2004-03-02,0.0300,2004-03-03
2003年,2003-12-26,2003-12-29,0.0100,2003-12-30
