年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-12,2021-01-12,0.0050,2021-01-13
2020年,2020-10-15,2020-10-15,0.0060,2020-10-16
2020年,2020-07-08,2020-07-08,0.0120,2020-07-09
2020年,2020-04-08,2020-04-08,0.0120,2020-04-09
2020年,2020-01-09,2020-01-09,0.0100,2020-01-10
2019年,2019-10-14,2019-10-14,0.0120,2019-10-15
2019年,2019-07-08,2019-07-08,0.0140,2019-07-09
2019年,2019-04-10,2019-04-10,0.0150,2019-04-11
2019年,2019-01-09,2019-01-09,0.0100,2019-01-10
2018年,2018-10-15,2018-10-15,0.0100,2018-10-16
2018年,2018-07-06,2018-07-06,0.0110,2018-07-09
2018年,2018-04-10,2018-04-10,0.0080,2018-04-11
2017年,2017-10-19,2017-10-19,0.0110,2017-10-20
2017年,2017-07-11,2017-07-11,0.0040,2017-07-12
2016年,2016-10-21,2016-10-21,0.0140,2016-10-24
2016年,2016-07-15,2016-07-15,0.0100,2016-07-18
2016年,2016-04-15,2016-04-15,0.0150,2016-04-18
2016年,2016-01-15,2016-01-15,0.0200,2016-01-18
2015年,2015-10-20,2015-10-20,0.0200,2015-10-21
2015年,2015-07-14,2015-07-14,0.0250,2015-07-15
2015年,2015-04-14,2015-04-14,0.0250,2015-04-15
2015年,2015-01-19,2015-01-19,0.0200,2015-01-20
2014年,2014-10-20,2014-10-20,0.0200,2014-10-21
2014年,2014-07-10,2014-07-10,0.0050,2014-07-11
