年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-04-22,2020-04-22,0.0510,2020-04-23
2017年,2017-12-13,2017-12-13,0.0547,2017-12-14
2016年,2016-12-30,2016-12-30,0.0180,2017-01-03
2015年,2015-12-28,2015-12-28,0.2150,2015-12-29
2014年,2014-12-29,2014-12-29,0.1700,2014-12-30
2014年,2014-01-20,2014-01-20,0.0540,2014-01-21
2011年,2011-01-06,2011-01-06,0.2700,2011-01-07
2010年,2010-01-05,2010-01-05,0.5300,2010-01-06
2007年,2007-04-09,2007-04-10,0.4200,2007-04-11
2006年,2006-06-05,2006-06-06,0.0600,2006-06-07
2006年,2006-04-17,2006-04-18,0.0250,2006-04-19
2004年,2004-04-19,2004-04-20,0.1000,2004-04-21
2003年,2003-12-23,2003-12-24,0.0100,2003-12-25
