年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-11-05,2020-11-05,0.0560,2020-11-06
2020年,2020-04-09,2020-04-09,0.0390,2020-04-10
2019年,2019-12-27,2019-12-27,0.0740,2019-12-30
2019年,2019-03-08,2019-03-08,0.0200,2019-03-11
2017年,2017-12-19,2017-12-19,0.0800,2017-12-20
2017年,2017-01-13,2017-01-13,0.0100,2017-01-16
2016年,2016-12-13,2016-12-13,0.0750,2016-12-14
2016年,2016-01-15,2016-01-15,0.1200,2016-01-18
2015年,2015-07-22,2015-07-22,0.1000,2015-07-23
2015年,2015-01-19,2015-01-19,0.0450,2015-01-20
2014年,2014-10-21,2014-10-21,0.0500,2014-10-22
2013年,2013-12-05,2013-12-05,0.0500,2013-12-06
2013年,2013-01-17,2013-01-17,0.0300,2013-01-18
2012年,2012-06-11,2012-06-11,0.0300,2012-06-12
2011年,2011-06-21,2011-06-21,0.0200,2011-06-22
2011年,2011-02-21,2011-02-21,0.0450,2011-02-22
2010年,2010-09-14,2010-09-14,0.0250,2010-09-15
2010年,2010-08-24,2010-08-24,0.0300,2010-08-25
2010年,2010-01-26,2010-01-26,0.0500,2010-01-27
2009年,2009-02-16,2009-02-16,0.0600,2009-02-17
