年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-09,2020-12-09,0.0340,2020-12-11
2019年,2019-12-13,2019-12-13,0.0407,2019-12-17
2018年,2018-12-28,2018-12-28,0.0230,2019-01-03
2018年,2018-09-20,2018-09-20,0.0500,2018-09-25
2018年,2018-05-21,2018-05-21,0.0790,2018-05-23
2016年,2016-12-15,2016-12-15,0.2000,2016-12-19
2015年,2015-01-20,2015-01-20,0.0410,2015-01-22
2014年,2014-01-20,2014-01-20,0.0030,2014-01-22
2013年,2013-07-05,2013-07-05,0.0300,2013-07-09
2013年,2013-01-22,2013-01-22,0.0400,2013-01-24
2012年,2012-08-15,2012-08-15,0.0300,2012-08-17
