年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-11-23,2020-11-23,0.0020,2020-11-24
2020年,2020-08-21,2020-08-21,0.0025,2020-08-24
2020年,2020-07-28,2020-07-28,0.0025,2020-07-29
2020年,2020-06-23,2020-06-23,0.0030,2020-06-24
2020年,2020-05-22,2020-05-22,0.0030,2020-05-25
2020年,2020-04-23,2020-04-23,0.0030,2020-04-24
2020年,2020-03-20,2020-03-20,0.0030,2020-03-23
2020年,2020-02-21,2020-02-21,0.0030,2020-02-24
2020年,2020-01-17,2020-01-17,0.0030,2020-01-20
2019年,2019-11-20,2019-11-20,0.0027,2019-11-21
2019年,2019-10-28,2019-10-28,0.0031,2019-10-29
2019年,2019-09-23,2019-09-23,0.0039,2019-09-24
2019年,2019-08-22,2019-08-22,0.0041,2019-08-23
2019年,2019-07-19,2019-07-19,0.0029,2019-07-22
2019年,2019-06-21,2019-06-21,0.0023,2019-06-24
2019年,2019-05-16,2019-05-16,0.0015,2019-05-17
