年份,权益登记日,除息日,每份分红,分红发放日
2007年,2007-12-28,2007-12-28,0.0900,2008-01-03
2007年,2007-10-18,2007-10-18,0.1300,2007-10-22
2007年,2007-09-05,2007-09-05,0.1200,2007-09-07
2007年,2007-07-31,2007-07-31,0.0700,2007-08-02
2007年,2007-07-04,2007-07-04,0.1100,2007-07-06
2007年,2007-05-29,2007-05-29,0.1200,2007-05-31
2007年,2007-04-20,2007-04-20,0.1600,2007-04-24
2007年,2007-03-12,2007-03-12,0.0900,2007-03-14
2007年,2007-02-08,2007-02-08,0.1800,2007-02-12
2007年,2007-01-10,2007-01-10,0.0800,2007-01-12
2006年,2006-12-07,2006-12-07,0.0500,2006-12-11
2006年,2006-11-15,2006-11-15,0.0200,2006-11-17
