年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-03-25,2021-03-25,0.4398,2021-03-26
2019年,2019-06-17,2019-06-17,0.1331,2019-06-18
2018年,2018-03-26,2018-03-26,0.0960,2018-03-27
2016年,2016-03-16,2016-03-16,0.1420,2016-03-17
2016年,2016-03-10,2016-03-10,0.1390,2016-03-11
2016年,2016-03-04,2016-03-04,0.1390,2016-03-07
2016年,2016-03-01,2016-03-01,0.1000,2016-03-02
2015年,2015-03-04,2015-03-04,0.1927,2015-03-05
2014年,2014-03-14,2014-03-14,0.0553,2014-03-17
2014年,2014-02-24,2014-02-24,0.0553,2014-02-25
2014年,2014-01-23,2014-01-23,0.0553,2014-01-24
2011年,2011-03-25,2011-03-25,0.1100,2011-03-28
2010年,2010-04-22,2010-04-22,0.2500,2010-04-23
2007年,2007-09-21,2007-09-24,1.0000,2007-09-25
2007年,2007-08-01,2007-08-02,0.2000,2007-08-03
