年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-04-13,2020-04-13,0.0100,2020-04-14
2020年,2020-04-03,2020-04-03,0.0100,2020-04-07
2020年,2020-03-12,2020-03-12,0.0100,2020-03-13
2020年,2020-03-06,2020-03-06,0.0100,2020-03-09
2020年,2020-03-02,2020-03-02,0.0100,2020-03-03
2020年,2020-02-18,2020-02-18,0.0100,2020-02-19
2020年,2020-01-21,2020-01-21,0.0100,2020-01-22
2020年,2020-01-10,2020-01-10,0.0100,2020-01-13
2019年,2019-09-03,2019-09-03,0.0100,2019-09-04
2019年,2019-04-15,2019-04-15,0.0100,2019-04-16
2019年,2019-03-18,2019-03-18,0.0100,2019-03-19
2018年,2018-05-18,2018-05-18,0.0100,2018-05-21
2018年,2018-02-07,2018-02-07,0.0100,2018-02-08
2017年,2017-12-13,2017-12-13,0.0100,2017-12-14
2017年,2017-12-01,2017-12-01,0.0100,2017-12-04
2017年,2017-09-28,2017-09-28,0.0100,2017-09-29
2017年,2017-09-12,2017-09-12,0.0100,2017-09-13
2017年,2017-08-24,2017-08-24,0.0100,2017-08-25
2017年,2017-07-18,2017-07-18,0.0100,2017-07-19
