年份,权益登记日,除息日,每份分红,分红发放日
2018年,2018-04-19,2018-04-19,0.0080,2018-04-20
2018年,2018-01-17,2018-01-17,0.0240,2018-01-18
2017年,2017-10-25,2017-10-25,0.0220,2017-10-26
2017年,2017-01-19,2017-01-19,0.0180,2017-01-20
2016年,2016-01-21,2016-01-21,0.0620,2016-01-22
2015年,2015-10-26,2015-10-26,0.0360,2015-10-27
2015年,2015-07-20,2015-07-20,0.0600,2015-07-21
2015年,2015-04-20,2015-04-20,0.0100,2015-04-21
2015年,2015-01-22,2015-01-22,0.1000,2015-01-23
2014年,2014-10-24,2014-10-24,0.0080,2014-10-27
2014年,2014-07-18,2014-07-18,0.0120,2014-07-21
2013年,2013-05-07,2013-05-07,0.0070,2013-05-08
