年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-23,2020-12-23,0.0500,2020-12-25
2020年,2020-06-15,2020-06-15,0.0500,2020-06-17
2019年,2019-12-20,2019-12-20,0.0250,2019-12-24
2019年,2019-09-03,2019-09-03,0.0200,2019-09-05
2018年,2018-06-26,2018-06-26,0.0200,2018-06-28
2016年,2016-12-27,2016-12-27,0.0400,2016-12-29
2016年,2016-07-29,2016-07-29,0.0500,2016-08-02
2015年,2015-12-22,2015-12-22,0.0800,2015-12-24
2015年,2015-04-17,2015-04-17,0.0600,2015-04-21
2014年,2014-12-25,2014-12-25,0.0700,2014-12-29
2014年,2014-10-16,2014-10-16,0.0250,2014-10-20
2013年,2013-11-06,2013-11-06,0.0300,2013-11-08
2013年,2013-01-23,2013-01-23,0.0050,2013-01-25
