年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-18,2020-12-18,0.1399,2020-12-21
2020年,2020-06-23,2020-06-23,0.2670,2020-06-24
2019年,2019-09-18,2019-09-18,0.3710,2019-09-19
2016年,2016-01-27,2016-01-27,0.4360,2016-01-28
2015年,2015-03-26,2015-03-26,0.2278,2015-03-27
2011年,2011-01-14,2011-01-14,0.0450,2011-01-17
2008年,2008-01-07,2008-01-07,0.0400,2008-01-08
2007年,2007-09-20,2007-09-20,0.8000,2007-09-21
2007年,2007-06-07,2007-06-07,0.3000,2007-06-08
2006年,2006-12-15,2006-12-15,1.0000,2006-12-18
2006年,2006-06-20,2006-06-20,0.0500,2006-06-21
2006年,2006-03-21,2006-03-21,0.0400,2006-03-22
2005年,2005-09-30,2005-09-30,0.0300,2005-10-10
2005年,2005-04-19,2005-04-19,0.0200,2005-04-20
