年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-18,2020-12-18,0.0069,2020-12-22
2020年,2020-09-24,2020-09-24,0.0142,2020-09-28
2020年,2020-06-22,2020-06-22,0.0042,2020-06-24
2019年,2019-12-23,2019-12-23,0.0105,2019-12-25
2019年,2019-09-24,2019-09-24,0.0130,2019-09-26
2019年,2019-06-18,2019-06-18,0.0096,2019-06-20
2019年,2019-03-18,2019-03-18,0.0085,2019-03-20
2019年,2019-01-11,2019-01-11,0.0210,2019-01-15
2018年,2018-09-13,2018-09-13,0.0125,2018-09-17
2018年,2018-06-19,2018-06-19,0.0065,2018-06-21
2018年,2018-04-18,2018-04-18,0.0118,2018-04-20
2018年,2018-03-16,2018-03-16,0.0046,2018-03-20
2018年,2018-02-23,2018-02-23,0.0098,2018-02-27
2017年,2017-12-20,2017-12-20,0.0170,2017-12-22
