年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-03-26,2021-03-26,0.3200,2021-03-29
2020年,2020-02-19,2020-02-19,0.0280,2020-02-20
2007年,2007-08-29,2007-08-29,0.2400,2007-08-31
2007年,2007-07-30,2007-07-30,0.0500,2007-08-01
2007年,2007-05-15,2007-05-15,0.1200,2007-05-17
2007年,2007-04-16,2007-04-16,0.1100,2007-04-18
2007年,2007-02-02,2007-02-02,0.2300,2007-02-06
2006年,2006-12-26,2006-12-26,0.0800,2006-12-28
2006年,2006-12-13,2006-12-13,0.0800,2006-12-15
2006年,2006-11-22,2006-11-22,0.0500,2006-11-24
2006年,2006-10-12,2006-10-12,0.0400,2006-10-18
2006年,2006-07-12,2006-07-12,0.0500,2006-07-18
2006年,2006-06-12,2006-06-12,0.2300,2006-06-16
2006年,2006-04-12,2006-04-12,0.0500,2006-04-14
2006年,2006-02-15,2006-02-15,0.0350,2006-02-17
2006年,2006-01-18,2006-01-18,0.0150,2006-01-20
2006年,2006-01-10,2006-01-10,0.0100,2006-01-12
2005年,2005-08-08,2005-08-08,0.0100,2005-08-10
