年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-06-19,2020-06-19,0.0060,2020-06-22
2020年,2020-03-18,2020-03-18,0.0190,2020-03-19
2019年,2019-09-18,2019-09-18,0.0090,2019-09-19
2019年,2019-06-18,2019-06-18,0.0050,2019-06-19
2019年,2019-03-18,2019-03-18,0.0089,2019-03-19
2018年,2018-12-12,2018-12-12,0.0140,2018-12-13
2018年,2018-09-14,2018-09-14,0.0180,2018-09-17
2018年,2018-06-19,2018-06-19,0.0180,2018-06-20
2018年,2018-03-13,2018-03-13,0.0100,2018-03-14
2017年,2017-12-14,2017-12-14,0.0040,2017-12-15
2017年,2017-09-14,2017-09-14,0.0060,2017-09-15
2017年,2017-06-27,2017-06-27,0.0045,2017-06-28
