年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-06-15,2020-06-15,0.0250,2020-06-17
2017年,2017-03-27,2017-03-28,0.0500,2017-03-30
2015年,2015-12-15,2015-12-16,0.0100,2015-12-18
2015年,2015-11-17,2015-11-18,0.0100,2015-11-20
2015年,2015-09-17,2015-09-18,0.0080,2015-09-22
2015年,2015-07-16,2015-07-17,0.0090,2015-07-21
2015年,2015-06-16,2015-06-17,0.0350,2015-06-19
2015年,2015-05-18,2015-05-19,0.0150,2015-05-21
2015年,2015-04-15,2015-04-16,0.0150,2015-04-20
2015年,2015-03-16,2015-03-17,0.0140,2015-03-19
2015年,2015-02-13,2015-02-16,0.0220,2015-02-25
2015年,2015-01-19,2015-01-20,0.0290,2015-01-22
2014年,2014-12-16,2014-12-17,0.0090,2014-12-19
2014年,2014-11-17,2014-11-18,0.0120,2014-11-20
2014年,2014-10-22,2014-10-23,0.0120,2014-10-27
2014年,2014-09-12,2014-09-15,0.0110,2014-09-17
2014年,2014-08-13,2014-08-14,0.0110,2014-08-18
2014年,2014-07-14,2014-07-15,0.0080,2014-07-17
2014年,2014-06-16,2014-06-17,0.0050,2014-06-19
2014年,2014-05-15,2014-05-16,0.0060,2014-05-20
2013年,2013-10-17,2013-10-18,0.0040,2013-10-22
2013年,2013-09-10,2013-09-11,0.0030,2013-09-13
