年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-15,2020-12-15,0.0203,2020-12-16
2020年,2020-09-14,2020-09-14,0.0307,2020-09-15
2020年,2020-05-29,2020-05-29,0.0239,2020-06-01
2020年,2020-03-13,2020-03-13,0.0383,2020-03-16
2019年,2019-12-16,2019-12-16,0.0114,2019-12-17
2019年,2019-03-14,2019-03-14,0.0194,2019-03-15
2018年,2018-12-17,2018-12-17,0.0082,2018-12-18
2018年,2018-03-19,2018-03-19,0.0145,2018-03-20
2017年,2017-12-19,2017-12-19,0.0142,2017-12-20
2017年,2017-09-19,2017-09-19,0.0119,2017-09-20
2017年,2017-06-22,2017-06-22,0.0027,2017-06-23
2017年,2017-03-28,2017-03-28,0.0181,2017-03-29
2016年,2016-11-29,2016-11-29,0.0163,2016-11-30
2016年,2016-09-14,2016-09-14,0.0238,2016-09-19
2016年,2016-05-11,2016-05-11,0.0075,2016-05-12
2016年,2016-03-03,2016-03-03,0.0115,2016-03-04
2015年,2015-12-14,2015-12-14,0.0119,2015-12-15
2015年,2015-09-16,2015-09-16,0.0428,2015-09-17
2015年,2015-06-15,2015-06-15,0.0360,2015-06-16
2015年,2015-03-26,2015-03-26,0.0097,2015-03-27
2014年,2014-12-25,2014-12-25,0.0119,2014-12-26
2014年,2014-09-25,2014-09-25,0.0195,2014-09-26
2014年,2014-06-12,2014-06-12,0.0115,2014-06-13
2014年,2014-03-21,2014-03-21,0.0034,2014-03-24
2013年,2013-09-23,2013-09-23,0.0015,2013-09-24
2013年,2013-06-17,2013-06-17,0.0143,2013-06-18
2013年,2013-03-18,2013-03-18,0.0210,2013-03-19
2012年,2012-12-17,2012-12-17,0.0201,2012-12-18
2012年,2012-07-06,2012-07-06,0.0122,2012-07-09
2012年,2012-05-14,2012-05-14,0.0161,2012-05-15
2012年,2012-03-22,2012-03-22,0.0160,2012-03-23
2010年,2010-12-24,2010-12-24,0.0127,2010-12-27
2010年,2010-09-20,2010-09-20,0.0245,2010-09-21
2010年,2010-04-21,2010-04-21,0.0190,2010-04-22
2009年,2009-12-29,2009-12-29,0.0053,2009-12-30
2009年,2009-06-26,2009-06-26,0.0091,2009-06-29
2009年,2009-02-10,2009-02-10,0.0530,2009-02-11
2008年,2008-11-20,2008-11-20,0.0130,2008-11-21
