年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-20,2021-01-20,0.0050,2021-01-21
2020年,2020-10-29,2020-10-29,0.0040,2020-10-30
2020年,2020-07-15,2020-07-15,0.0060,2020-07-16
2020年,2020-04-15,2020-04-15,0.0100,2020-04-16
2020年,2020-01-16,2020-01-16,0.0120,2020-01-17
2019年,2019-10-14,2019-10-14,0.0160,2019-10-15
2019年,2019-07-05,2019-07-05,0.0490,2019-07-08
2019年,2019-03-05,2019-03-05,0.0610,2019-03-06
2016年,2016-07-15,2016-07-15,0.0400,2016-07-18
2015年,2015-07-23,2015-07-23,0.0600,2015-07-24
2013年,2013-11-04,2013-11-04,0.0430,2013-11-05
