年份,权益登记日,除息日,每份分红,分红发放日
2017年,2017-06-06,2017-06-06,0.0640,2017-06-08
2017年,2017-01-19,2017-01-19,0.0300,2017-01-23
2016年,2016-01-20,2016-01-20,0.1000,2016-01-22
2015年,2015-01-21,2015-01-21,0.0500,2015-01-23
2014年,2014-09-04,2014-09-04,0.0400,2014-09-09
2014年,2014-01-16,2014-01-16,0.0400,2014-01-20
2013年,2013-01-21,2013-01-21,0.0150,2013-01-23
2011年,2011-04-19,2011-04-19,0.1900,2011-04-21
2010年,2010-04-26,2010-04-26,0.2900,2010-04-28
2009年,2009-12-21,2009-12-21,0.0200,2009-12-23
2008年,2008-12-16,2008-12-16,0.0100,2008-12-18
