年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-21,2021-01-21,0.4470,2021-01-22
2020年,2020-03-13,2020-03-13,0.2300,2020-03-16
2019年,2019-04-01,2019-04-01,0.0530,2019-04-02
2017年,2017-04-20,2017-04-20,0.0960,2017-04-21
2016年,2016-03-31,2016-03-31,0.2700,2016-04-01
2015年,2015-01-22,2015-01-22,0.2860,2015-01-23
2014年,2014-01-14,2014-01-14,0.0040,2014-01-15
2010年,2010-12-14,2010-12-14,0.4200,2010-12-15
2010年,2010-05-10,2010-05-10,0.1400,2010-05-11
2010年,2010-01-25,2010-01-25,0.1000,2010-01-26
2009年,2009-12-28,2009-12-28,0.0100,2009-12-29
2009年,2009-04-07,2009-04-07,0.1500,2009-04-08
2008年,2008-04-02,2008-04-02,0.5000,2008-04-03
2006年,2006-05-15,2006-05-15,0.0600,2006-05-16
2004年,2004-03-08,2004-03-08,0.0400,2004-03-09
2003年,2003-12-19,2003-12-19,0.0200,2003-12-22
