年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-15,2021-01-15,0.0043,2021-01-18
2020年,2020-07-14,2020-07-14,0.0110,2020-07-15
2020年,2020-01-17,2020-01-17,0.0110,2020-01-20
2019年,2019-07-15,2019-07-15,0.0090,2019-07-16
2019年,2019-01-16,2019-01-16,0.0080,2019-01-17
2018年,2018-07-16,2018-07-16,0.0060,2018-07-17
2017年,2017-04-18,2017-04-18,0.0070,2017-04-19
2017年,2017-01-17,2017-01-17,0.0110,2017-01-18
2016年,2016-10-27,2016-10-27,0.0130,2016-10-28
2016年,2016-07-14,2016-07-14,0.0120,2016-07-15
2016年,2016-04-14,2016-04-14,0.0160,2016-04-15
2016年,2016-01-14,2016-01-14,0.0250,2016-01-15
2015年,2015-10-20,2015-10-20,0.0320,2015-10-21
2015年,2015-07-10,2015-07-10,0.0450,2015-07-13
2015年,2015-04-13,2015-04-13,0.0280,2015-04-14
2015年,2015-01-15,2015-01-15,0.0380,2015-01-16
2014年,2014-10-20,2014-10-20,0.0120,2014-10-21
2014年,2014-09-03,2014-09-03,0.0120,2014-09-04
2013年,2013-10-17,2013-10-17,0.0090,2013-10-18
2013年,2013-07-11,2013-07-11,0.0130,2013-07-12
2013年,2013-04-11,2013-04-11,0.0140,2013-04-12
2013年,2013-01-10,2013-01-10,0.0120,2013-01-11
