年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-04,2021-01-04,0.0570,2021-01-05
2020年,2020-10-09,2020-10-09,0.0380,2020-10-12
2020年,2020-07-01,2020-07-01,0.0210,2020-07-02
2018年,2018-04-02,2018-04-02,0.0070,2018-04-03
2018年,2018-01-02,2018-01-02,0.0180,2018-01-03
2017年,2017-10-09,2017-10-09,0.0270,2017-10-10
2017年,2017-07-03,2017-07-03,0.0230,2017-07-04
2017年,2017-04-05,2017-04-05,0.0130,2017-04-06
2017年,2017-01-03,2017-01-03,0.0150,2017-01-04
2016年,2016-10-10,2016-10-10,0.0240,2016-10-11
2016年,2016-07-01,2016-07-01,0.0320,2016-07-04
2016年,2016-01-04,2016-01-04,0.0650,2016-01-05
2015年,2015-10-08,2015-10-08,0.0020,2015-10-09
2015年,2015-07-01,2015-07-01,0.0880,2015-07-02
2015年,2015-04-01,2015-04-01,0.0930,2015-04-02
2015年,2015-01-05,2015-01-05,0.0120,2015-01-06
2011年,2011-04-01,2011-04-01,0.0010,2011-04-06
2011年,2011-01-04,2011-01-04,0.0500,2011-01-05
2008年,2008-01-02,2008-01-02,0.0680,2008-01-03
2007年,2007-10-08,2007-10-08,0.2000,2007-10-09
2007年,2007-07-02,2007-07-02,0.2800,2007-07-03
2007年,2007-04-02,2007-04-02,0.3900,2007-04-03
2007年,2007-01-04,2007-01-04,0.2000,2007-01-05
2006年,2006-10-09,2006-10-09,0.0230,2006-10-10
