年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-22,2020-12-22,0.0500,2020-12-23
2019年,2019-12-24,2019-12-24,0.0200,2019-12-25
2018年,2018-12-25,2018-12-25,0.0200,2018-12-26
2017年,2017-12-21,2017-12-21,0.0100,2017-12-22
2016年,2016-12-28,2016-12-28,0.0080,2016-12-29
2015年,2015-11-05,2015-11-05,0.1060,2015-11-06
2014年,2014-12-29,2014-12-29,0.0700,2014-12-30
2013年,2013-12-24,2013-12-24,0.0150,2013-12-25
2012年,2012-12-06,2012-12-06,0.0420,2012-12-07
2010年,2010-12-01,2010-12-01,0.0350,2010-12-02
2009年,2009-07-24,2009-07-24,0.0300,2009-07-27
2009年,2009-02-09,2009-02-09,0.0500,2009-02-10
2008年,2008-10-22,2008-10-22,0.0300,2008-10-23
2007年,2007-09-03,2007-09-03,0.0063,2007-09-04
2007年,2007-05-17,2007-05-17,0.0028,2007-05-18
2007年,2007-03-20,2007-03-20,0.0018,2007-03-21
2007年,2007-02-26,2007-02-26,0.0018,2007-02-27
2007年,2007-01-23,2007-01-23,0.0018,2007-01-24
2006年,2006-12-25,2006-12-25,0.0026,2006-12-26
2006年,2006-11-09,2006-11-09,0.0018,2006-11-10
2006年,2006-10-13,2006-10-13,0.0018,2006-10-16
2006年,2006-09-06,2006-09-06,0.0018,2006-09-07
2006年,2006-08-03,2006-08-03,0.0018,2006-08-04
