年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-19,2021-01-19,0.0085,2021-01-20
2020年,2020-12-15,2020-12-15,0.0064,2020-12-16
2020年,2020-09-29,2020-09-29,0.0030,2020-09-30
2020年,2020-08-05,2020-08-05,0.0088,2020-08-06
2020年,2020-06-11,2020-06-11,0.0118,2020-06-12
2020年,2020-03-18,2020-03-18,0.0055,2020-03-19
2020年,2020-01-06,2020-01-06,0.0109,2020-01-07
2019年,2019-11-04,2019-11-04,0.0130,2019-11-05
2019年,2019-08-05,2019-08-05,0.0099,2019-08-06
2019年,2019-05-14,2019-05-14,0.0138,2019-05-15
2019年,2019-01-29,2019-01-29,0.0073,2019-01-30
2018年,2018-12-19,2018-12-19,0.0154,2018-12-20
2018年,2018-09-19,2018-09-19,0.0200,2018-09-20
2018年,2018-03-26,2018-03-26,0.0180,2018-03-27
2017年,2017-08-14,2017-08-14,0.0180,2017-08-15
