年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-03-12,2021-03-12,0.0640,2021-03-16
2017年,2017-06-14,2017-06-14,0.0354,2017-06-16
2017年,2017-03-14,2017-03-14,0.0677,2017-03-16
2016年,2016-12-14,2016-12-14,0.1040,2016-12-16
2016年,2016-09-14,2016-09-14,0.0960,2016-09-20
2016年,2016-06-15,2016-06-15,0.0790,2016-06-17
2016年,2016-03-14,2016-03-14,0.0720,2016-03-16
2015年,2015-12-14,2015-12-14,0.1200,2015-12-16
2015年,2015-09-16,2015-09-16,0.1020,2015-09-18
2015年,2015-06-12,2015-06-12,0.1600,2015-06-16
2015年,2015-03-13,2015-03-13,0.0460,2015-03-17
2014年,2014-12-12,2014-12-12,0.0430,2014-12-16
2014年,2014-09-12,2014-09-12,0.0350,2014-09-16
2014年,2014-06-13,2014-06-13,0.0270,2014-06-17
2014年,2014-03-14,2014-03-14,0.0300,2014-03-18
