年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-03-25,2021-03-25,0.1800,2021-03-29
2020年,2020-03-24,2020-03-24,0.0362,2020-03-25
2018年,2018-02-07,2018-02-07,0.0150,2018-02-08
2018年,2018-01-08,2018-01-08,0.0200,2018-01-09
2017年,2017-11-15,2017-11-15,0.0300,2017-11-16
2017年,2017-01-24,2017-01-24,0.0170,2017-01-25
2016年,2016-12-30,2016-12-30,0.0140,2017-01-03
2016年,2016-04-13,2016-04-13,0.3000,2016-04-14
2008年,2008-12-25,2008-12-25,0.0660,2008-12-26
2007年,2007-01-19,2007-01-19,0.6000,2007-01-22
2006年,2006-11-20,2006-11-20,0.1250,2006-11-21
2006年,2006-06-09,2006-06-09,0.2000,2006-06-12
2006年,2006-03-10,2006-03-10,0.0500,2006-03-13
2005年,2005-08-23,2005-08-23,0.0300,2005-08-24
