净值日期,累计净值,单位净值,日增长率,复权净值
2019-01-24,1.0,1.0,0.0,1.0
2019-01-25,1.0001,1.0001,0.01,1.0001
2019-02-01,1.0005,1.0005,0.0,1.0005
2019-02-15,1.0015,1.0015,0.0,1.0015
2019-02-22,1.002,1.002,0.0,1.002
2019-02-25,1.0022,1.0022,0.02,1.0022
2019-02-26,1.0022,1.0022,0.0,1.0022
2019-02-27,1.0023,1.0023,0.01,1.0023
2019-02-28,1.0023,1.0023,0.0,1.0023
2019-03-01,1.0025,1.0025,0.02,1.0025
2019-03-04,1.0027,1.0027,0.02,1.0027
2019-03-05,1.0028,1.0028,0.01,1.0028
2019-03-06,1.0028,1.0028,0.0,1.0028
2019-03-07,1.0029,1.0029,0.01,1.0029
2019-03-08,1.0029,1.0029,0.0,1.0029
2019-03-11,1.0031,1.0031,0.0199,1.0031
2019-03-12,1.0032,1.0032,0.01,1.0032
2019-03-13,1.0032,1.0032,0.0,1.0032
2019-03-14,1.0033,1.0033,0.01,1.0033
2019-03-15,1.0032,1.0032,-0.01,1.0032
2019-03-18,1.0034,1.0034,0.0199,1.0034
2019-03-19,1.0035,1.0035,0.01,1.0035
2019-03-20,1.0037,1.0037,0.0199,1.0037
2019-03-21,1.0038,1.0038,0.01,1.0038
2019-03-22,1.004,1.004,0.0199,1.004
2019-03-25,1.0042,1.0042,0.0199,1.0042
2019-03-26,1.0044,1.0044,0.0199,1.0044
2019-03-27,1.0044,1.0044,0.0,1.0044
2019-03-28,1.0045,1.0045,0.01,1.0045
2019-03-29,1.0047,1.0047,0.0199,1.0047
2019-04-01,1.0049,1.0049,0.0199,1.0049
2019-04-02,1.0049,1.0049,0.0,1.0049
2019-04-03,1.005,1.005,0.01,1.005
2019-04-04,1.0049,1.0049,-0.01,1.0049
2019-04-08,1.0053,1.0053,0.0398,1.0053
2019-04-09,1.0053,1.0053,0.0,1.0053
2019-04-10,1.0053,1.0053,0.0,1.0053
2019-04-11,1.0054,1.0054,0.0099,1.0054
2019-04-12,1.0055,1.0055,0.0099,1.0055
2019-04-15,1.0054,1.0054,-0.0099,1.0054
2019-04-16,1.0054,1.0054,0.0,1.0054
2019-04-17,1.0053,1.0053,-0.0099,1.0053
2019-04-18,1.0055,1.0055,0.0199,1.0055
2019-04-19,1.0057,1.0057,0.0199,1.0057
2019-04-22,1.006,1.006,0.0298,1.006
2019-04-23,1.0058,1.0058,-0.0199,1.0058
2019-04-24,1.0057,1.0057,-0.0099,1.0057
2019-04-25,1.0057,1.0057,0.0,1.0057
2019-04-26,1.0057,1.0057,0.0,1.0057
2019-04-29,1.0057,1.0057,0.0,1.0057
2019-04-30,1.0058,1.0058,0.0099,1.0058
2019-05-06,1.0067,1.0067,0.0895,1.0067
2019-05-07,1.007,1.007,0.0298,1.007
2019-05-08,1.0073,1.0073,0.0298,1.0073
2019-05-09,1.0076,1.0076,0.0298,1.0076
2019-05-10,1.0078,1.0078,0.0198,1.0078
2019-05-13,1.0082,1.0082,0.0397,1.0082
2019-05-14,1.0084,1.0084,0.0198,1.0084
2019-05-15,1.0085,1.0085,0.0099,1.0085
2019-05-16,1.0087,1.0087,0.0198,1.0087
2019-05-17,1.0089,1.0089,0.0198,1.0089
2019-05-20,1.0093,1.0093,0.0396,1.0093
2019-05-21,1.0093,1.0093,0.0,1.0093
2019-05-22,1.0094,1.0094,0.0099,1.0094
2019-05-23,1.0095,1.0095,0.0099,1.0095
2019-05-24,1.0096,1.0096,0.0099,1.0096
2019-05-27,1.0098,1.0098,0.0198,1.0098
2019-05-28,1.0096,1.0096,-0.0198,1.0096
2019-05-29,1.0097,1.0097,0.0099,1.0097
2019-05-30,1.0098,1.0098,0.0099,1.0098
2019-05-31,1.01,1.01,0.0198,1.01
2019-06-03,1.0104,1.0104,0.0396,1.0104
2019-06-04,1.0104,1.0104,0.0,1.0104
2019-06-05,1.0105,1.0105,0.0099,1.0105
2019-06-06,1.0106,1.0106,0.0099,1.0106
2019-06-10,1.0108,1.0108,0.0198,1.0108
2019-06-11,1.0109,1.0109,0.0099,1.0109
2019-06-12,1.0108,1.0108,-0.0099,1.0108
2019-06-13,1.0106,1.0106,-0.0198,1.0106
2019-06-14,1.0103,1.0103,-0.0297,1.0103
2019-06-17,1.0107,1.0107,0.0396,1.0107
2019-06-18,1.0109,1.0109,0.0198,1.0109
2019-06-19,1.0111,1.0111,0.0198,1.0111
2019-06-20,1.0113,1.0113,0.0198,1.0113
2019-06-21,1.0115,1.0115,0.0198,1.0115
2019-06-24,1.0118,1.0118,0.0297,1.0118
2019-06-25,1.012,1.012,0.0198,1.012
2019-06-26,1.0123,1.0123,0.0296,1.0123
2019-06-27,1.0124,1.0124,0.0099,1.0124
2019-06-28,1.0125,1.0125,0.0099,1.0125
2019-06-30,1.0127,1.0127,0.0,1.0127
2019-07-01,1.013,1.013,0.0494,1.013
2019-07-02,1.0132,1.0132,0.0197,1.0132
2019-07-03,1.0135,1.0135,0.0296,1.0135
2019-07-04,1.0136,1.0136,0.0099,1.0136
2019-07-05,1.0137,1.0137,0.0099,1.0137
2019-07-08,1.014,1.014,0.0296,1.014
2019-07-09,1.014,1.014,0.0,1.014
2019-07-10,1.0141,1.0141,0.0099,1.0141
2019-07-11,1.0141,1.0141,0.0,1.0141
2019-07-12,1.014,1.014,-0.0099,1.014
2019-07-15,1.0143,1.0143,0.0296,1.0143
2019-07-16,1.0143,1.0143,0.0,1.0143
2019-07-17,1.0144,1.0144,0.0099,1.0144
2019-07-18,1.0145,1.0145,0.0099,1.0145
2019-07-19,1.0145,1.0145,0.0,1.0145
2019-07-22,1.0148,1.0148,0.0296,1.0148
2019-07-23,1.015,1.015,0.0197,1.015
2019-07-24,1.0152,1.0152,0.0197,1.0152
2019-07-25,1.0153,1.0153,0.0099,1.0153
2019-07-26,1.0154,1.0154,0.0098,1.0154
2019-07-29,1.0157,1.0157,0.0295,1.0157
2019-07-30,1.0158,1.0158,0.0098,1.0158
2019-07-31,1.016,1.016,0.0197,1.016
2019-08-01,1.0162,1.0162,0.0197,1.0162
2019-08-02,1.0164,1.0164,0.0197,1.0164
2019-08-05,1.0167,1.0167,0.0295,1.0167
2019-08-06,1.0169,1.0169,0.0197,1.0169
2019-08-07,1.0172,1.0172,0.0295,1.0172
2019-08-08,1.0173,1.0173,0.0098,1.0173
2019-08-09,1.0175,1.0175,0.0197,1.0175
2019-08-12,1.0178,1.0178,0.0295,1.0178
2019-08-13,1.0179,1.0179,0.0098,1.0179
2019-08-14,1.018,1.018,0.0098,1.018
2019-08-15,1.0181,1.0181,0.0098,1.0181
2019-08-16,1.0182,1.0182,0.0098,1.0182
2019-08-19,1.0185,1.0185,0.0295,1.0185
2019-08-20,1.0187,1.0187,0.0196,1.0187
2019-08-21,1.0188,1.0188,0.0098,1.0188
2019-08-22,1.019,1.019,0.0196,1.019
2019-08-23,1.0191,1.0191,0.0098,1.0191
2019-08-26,1.0194,1.0194,0.0294,1.0194
2019-08-27,1.0195,1.0195,0.0098,1.0195
2019-08-28,1.0197,1.0197,0.0196,1.0197
2019-08-29,1.0198,1.0198,0.0098,1.0198
2019-08-30,1.0199,1.0199,0.0098,1.0199
2019-09-02,1.0202,1.0202,0.0294,1.0202
2019-09-03,1.0204,1.0204,0.0196,1.0204
2019-09-04,1.0205,1.0205,0.0098,1.0205
2019-09-05,1.0205,1.0205,0.0,1.0205
2019-09-06,1.0204,1.0204,-0.0098,1.0204
2019-09-09,1.0209,1.0209,0.049,1.0209
2019-09-10,1.021,1.021,0.0098,1.021
2019-09-11,1.0212,1.0212,0.0196,1.0212
2019-09-12,1.0213,1.0213,0.0098,1.0213
2019-09-16,1.0217,1.0217,0.0392,1.0217
2019-09-17,1.0218,1.0218,0.0098,1.0218
2019-09-18,1.0219,1.0219,0.0098,1.0219
2019-09-19,1.0221,1.0221,0.0196,1.0221
2019-09-20,1.0221,1.0221,0.0,1.0221
2019-09-23,1.0223,1.0223,0.0196,1.0223
2019-09-24,1.0225,1.0225,0.0196,1.0225
2019-09-25,1.0224,1.0224,-0.0098,1.0224
2019-09-26,1.0225,1.0225,0.0098,1.0225
2019-09-27,1.0227,1.0227,0.0196,1.0227
2019-09-30,1.0228,1.0228,0.0098,1.0228
2019-10-08,1.0237,1.0237,0.088,1.0237
2019-10-09,1.0238,1.0238,0.0098,1.0238
2019-10-10,1.0241,1.0241,0.0293,1.0241
2019-10-11,1.0242,1.0242,0.0098,1.0242
2019-10-14,1.0245,1.0245,0.0293,1.0245
2019-10-15,1.0246,1.0246,0.0098,1.0246
2019-10-16,1.0248,1.0248,0.0195,1.0248
2019-10-17,1.0249,1.0249,0.0098,1.0249
2019-10-18,1.0251,1.0251,0.0195,1.0251
2019-10-21,1.0253,1.0253,0.0195,1.0253
2019-10-22,1.0253,1.0253,0.0,1.0253
2019-10-23,1.0254,1.0254,0.0098,1.0254
2019-10-24,1.0254,1.0254,0.0,1.0254
2019-10-25,1.0254,1.0254,0.0,1.0254
2019-10-28,1.0256,1.0256,0.0195,1.0256
2019-10-29,1.0255,1.0255,-0.0098,1.0255
2019-10-30,1.0256,1.0256,0.0098,1.0256
2019-10-31,1.0254,1.0254,-0.0195,1.0254
2019-11-01,1.0253,1.0253,-0.0098,1.0253
2019-11-04,1.0255,1.0255,0.0195,1.0255
2019-11-05,1.0256,1.0256,0.0098,1.0256
2019-11-06,1.0257,1.0257,0.0098,1.0257
2019-11-07,1.0258,1.0258,0.0097,1.0258
2019-11-08,1.026,1.026,0.0195,1.026
2019-11-11,1.0263,1.0263,0.0292,1.0263
2019-11-12,1.0265,1.0265,0.0195,1.0265
2019-11-13,1.0266,1.0266,0.0097,1.0266
2019-11-14,1.0268,1.0268,0.0195,1.0268
2019-11-15,1.0267,1.0267,-0.0097,1.0267
2019-11-18,1.027,1.027,0.0292,1.027
2019-11-19,1.027,1.027,0.0,1.027
2019-11-20,1.0273,1.0273,0.0292,1.0273
2019-11-21,1.0275,1.0275,0.0195,1.0275
2019-11-22,1.0276,1.0276,0.0097,1.0276
2019-11-25,1.028,1.028,0.0389,1.028
2019-11-26,1.0281,1.0281,0.0097,1.0281
2019-11-27,1.0282,1.0282,0.0097,1.0282
2019-11-28,1.0283,1.0283,0.0097,1.0283
2019-11-29,1.0283,1.0283,0.0,1.0283
2019-12-02,1.0286,1.0286,0.0292,1.0286
2019-12-03,1.0288,1.0288,0.0194,1.0288
2019-12-04,1.0289,1.0289,0.0097,1.0289
2019-12-05,1.029,1.029,0.0097,1.029
2019-12-06,1.0291,1.0291,0.0097,1.0291
2019-12-09,1.0294,1.0294,0.0292,1.0294
2019-12-10,1.0295,1.0295,0.0097,1.0295
2019-12-11,1.0296,1.0296,0.0097,1.0296
2019-12-12,1.0297,1.0297,0.0097,1.0297
2019-12-13,1.0297,1.0297,0.0,1.0297
2019-12-16,1.03,1.03,0.0291,1.03
2019-12-17,1.0301,1.0301,0.0097,1.0301
2019-12-18,1.0302,1.0302,0.0097,1.0302
2019-12-19,1.0303,1.0303,0.0097,1.0303
2019-12-20,1.0305,1.0305,0.0194,1.0305
2019-12-23,1.0308,1.0308,0.0291,1.0308
2019-12-24,1.0309,1.0309,0.0097,1.0309
2019-12-25,1.0312,1.0312,0.0291,1.0312
2019-12-26,1.0314,1.0314,0.0194,1.0314
2019-12-27,1.0316,1.0316,0.0194,1.0316
2019-12-30,1.032,1.032,0.0388,1.032
2019-12-31,1.0321,1.0321,0.0097,1.0321
2020-01-02,1.0326,1.0326,0.0484,1.0326
2020-01-03,1.0328,1.0328,0.0194,1.0328
2020-01-06,1.0332,1.0332,0.0387,1.0332
2020-01-07,1.0335,1.0335,0.029,1.0335
2020-01-08,1.0337,1.0337,0.0194,1.0337
2020-01-09,1.0338,1.0338,0.0097,1.0338
2020-01-10,1.034,1.034,0.0193,1.034
2020-01-13,1.0344,1.0344,0.0387,1.0344
2020-01-14,1.0344,1.0344,0.0,1.0344
2020-01-15,1.0344,1.0344,0.0,1.0344
2020-01-16,1.0345,1.0345,0.0097,1.0345
2020-01-17,1.0346,1.0346,0.0097,1.0346
2020-01-20,1.0349,1.0349,0.029,1.0349
2020-01-21,1.035,1.035,0.0097,1.035
2020-01-22,1.0351,1.0351,0.0097,1.0351
2020-01-23,1.0353,1.0353,0.0193,1.0353
2020-02-03,1.0372,1.0372,0.1835,1.0372
2020-02-04,1.0373,1.0273,0.0096,1.0373
2020-02-05,1.0374,1.0274,0.0097,1.0374
2020-02-06,1.0375,1.0275,0.0097,1.0375
2020-02-07,1.0379,1.0279,0.0389,1.0379035875
2020-02-10,1.0383,1.0283,0.0389,1.0383073319955374
2020-02-11,1.0384,1.0284,0.0097,1.038408047806741
2020-02-12,1.0388,1.0288,0.0389,1.0388119885373377
2020-02-13,1.0391,1.0291,0.0292,1.0391153216379905
2020-02-14,1.0393,1.0293,0.0194,1.0393169100103883
2020-02-17,1.0397,1.0297,0.0389,1.0397212042883823
2020-02-18,1.04,1.03,0.0291,1.0400237631588303
2020-02-19,1.0401,1.0301,0.0097,1.0401246454638566
2020-02-20,1.0403,1.0303,0.0194,1.0403264296450767
2020-02-21,1.0405,1.0305,0.0194,1.0405282529724278
2020-02-24,1.0408,1.0308,0.0291,1.040831046694043
2020-02-25,1.0409,1.0309,0.0097,1.0409320073055723
2020-02-26,1.0411,1.0311,0.0194,1.0411339481149897
2020-02-27,1.0413,1.0313,0.0194,1.041335928100924
2020-02-28,1.0414,1.0314,0.0097,1.0414369376859498
2020-03-02,1.0417,1.0317,0.0291,1.0417399958348164
2020-03-03,1.0418,1.0318,0.0097,1.0418410446144124
2020-03-04,1.0422,1.0322,0.0388,1.042245278939723
2020-03-05,1.0424,1.0324,0.0194,1.0424474745238372
2020-03-06,1.0427,1.0327,0.0291,1.0427508267389236
2020-03-09,1.0433,1.0333,0.0581,1.043356664969259
2020-03-10,1.0433,1.0333,0.0,1.043356664969259
2020-03-11,1.0433,1.0333,0.0,1.043356664969259
2020-03-12,1.0434,1.0334,0.0097,1.043457870565761
2020-03-13,1.0433,1.0333,-0.0097,1.043356655152316
2020-03-16,1.0434,1.0334,0.0097,1.0434578607478657
2020-03-17,1.0435,1.0335,0.0097,1.0435590761603584
2020-03-18,1.0437,1.0337,0.0194,1.0437615266211335
2020-03-19,1.0436,1.0336,-0.0097,1.0436602817530514
2020-03-20,1.0437,1.0337,0.0097,1.0437615168003813
2020-03-23,1.0441,1.0341,0.0387,1.044165452507383
2020-03-24,1.0443,1.0343,0.0193,1.044366976439717
2020-03-25,1.0444,1.0344,0.0097,1.0444682800364316
2020-03-26,1.0445,1.0345,0.0097,1.044569593459595
2020-03-27,1.0446,1.0346,0.0097,1.0446709167101607
2020-03-30,1.0448,1.0348,0.0193,1.0448725381970858
2020-03-31,1.045,1.035,0.0193,1.045074198596958
2020-04-01,1.0452,1.0352,0.0193,1.0452758979172874
2020-04-02,1.0453,1.0353,0.0097,1.0453772896793854
2020-04-03,1.0454,1.0354,0.0097,1.0454786912764842
2020-04-07,1.0465,1.0365,0.1062,1.0465889896466196
2020-04-08,1.0471,1.0371,0.0579,1.0471949646716252
2020-04-09,1.0475,1.0375,0.0386,1.0475991819279884
2020-04-10,1.0476,1.0376,0.0096,1.0476997514494535
2020-04-13,1.0477,1.0377,0.0096,1.0478003306255927
2020-04-14,1.048,1.038,0.0289,1.0481031449211435
2020-04-15,1.0483,1.0383,0.0289,1.0484060467300258
2020-04-16,1.0484,1.0384,0.0096,1.048506693710512
2020-04-17,1.0486,1.0386,0.0193,1.0487090555023983
2020-04-20,1.0487,1.0387,0.0096,1.0488097315717266
2020-04-21,1.0488,1.0388,0.0096,1.0489104173059576
2020-04-22,1.0489,1.0389,0.0096,1.049011112706019
2020-04-23,1.0491,1.0391,0.0193,1.0492135718507716
2020-04-24,1.0493,1.0393,0.0192,1.049415020856567
2020-04-27,1.0496,1.0396,0.0289,1.0497183017975944
2020-04-28,1.0499,1.0399,0.0289,1.050021670386814
2020-04-29,1.05,1.04,0.0096,1.0501224724671712
2020-04-30,1.05,1.04,0.0,1.0501224724671712
2020-05-06,1.0504,1.0404,0.0385,1.0505267696190712
2020-05-07,1.0503,1.0403,-0.0096,1.0504259190491878
2020-05-08,1.0502,1.0402,-0.0096,1.050325078160959
2020-05-11,1.05,1.04,-0.0192,1.050123415745952
2020-05-12,1.05,1.04,0.0,1.050123415745952
2020-05-13,1.05,1.04,0.0,1.050123415745952
2020-05-14,1.0501,1.0401,0.0096,1.0502242275938638
2020-05-15,1.0502,1.0402,0.0096,1.050325049119713
2020-05-18,1.0504,1.0404,0.0192,1.050526711529144
2020-05-19,1.0504,1.0404,0.0,1.050526711529144
2020-05-20,1.0505,1.0405,0.0096,1.0506275620934509
2020-05-21,1.0506,1.0406,0.0096,1.050728422339412
2020-05-22,1.0508,1.0408,0.0192,1.050930162196501
2020-05-25,1.0509,1.0409,0.0096,1.051031051492072
2020-05-26,1.0507,1.0407,-0.0192,1.0508292535301855
2020-05-27,1.0506,1.0406,-0.0096,1.0507283739218467
2020-05-28,1.0504,1.0404,-0.0192,1.0505266340740538
2020-05-29,1.0504,1.0404,0.0,1.0505266340740538
2020-06-01,1.0505,1.0405,0.0096,1.050627484630925
2020-06-02,1.05,1.04,-0.0481,1.0501221328108175
2020-06-03,1.0488,1.0388,-0.1154,1.0489102918695539
2020-06-04,1.0484,1.0384,-0.0385,1.0485064614071842
2020-06-05,1.047,1.037,-0.1348,1.0470930746972074
2020-06-08,1.0467,1.0367,-0.0289,1.04679046479862
2020-06-09,1.0469,1.0369,0.0193,1.0469924953583263
2020-06-10,1.047,1.037,0.0096,1.0470930066378807
2020-06-11,1.0473,1.0373,0.0289,1.047395616516799
2020-06-12,1.0476,1.0376,0.0289,1.0476983138499723
2020-06-15,1.048,1.038,0.0386,1.0481027253991184
2020-06-16,1.048,1.038,0.0,1.0481027253991184
2020-06-17,1.0479,1.0379,-0.0096,1.0480021075374801
2020-06-18,1.048,1.038,0.0096,1.0481027157398037
2020-06-19,1.048,1.038,0.0,1.0481027157398037
2020-06-22,1.0479,1.0379,-0.0096,1.0480020978790927
2020-06-23,1.0475,1.0375,-0.0385,1.0475986170714093
2020-06-24,1.0475,1.0375,0.0,1.0475986170714093
2020-06-29,1.048,1.038,0.0482,1.0481035596048378
2020-06-30,1.0481,1.0381,0.0096,1.04820417754656
2020-07-01,1.0482,1.0382,0.0096,1.0483048051476047
2020-07-02,1.0485,1.0385,0.0289,1.0486077652362924
2020-07-03,1.0486,1.0386,0.0096,1.0487084315817552
2020-07-06,1.0484,1.0384,-0.0193,1.0485060308544598
2020-07-07,1.0477,1.0377,-0.0674,1.047799337789664
2020-07-08,1.0473,1.0373,-0.0385,1.047395935044615
2020-07-09,1.0465,1.0365,-0.0771,1.0465883927786956
2020-07-10,1.0461,1.0361,-0.0386,1.046184409659083
2020-07-13,1.0458,1.0358,-0.029,1.045881016180282
2020-07-14,1.0458,1.0358,0.0,1.045881016180282
2020-07-15,1.0459,1.0359,0.0097,1.0459824666388515
2020-07-16,1.0462,1.0362,0.029,1.0462858015541767
2020-07-17,1.0464,1.0364,0.0193,1.0464877347138768
