年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-04-21,2020-04-21,0.0260,2020-04-23
2019年,2019-12-17,2019-12-17,0.0310,2019-12-19
2019年,2019-05-27,2019-05-27,0.0418,2019-05-29
2018年,2018-08-29,2018-08-29,0.0403,2018-08-31
2017年,2017-06-26,2017-06-26,0.0769,2017-06-28
2015年,2015-06-26,2015-06-26,0.0700,2015-06-30
2014年,2014-10-23,2014-10-23,0.0350,2014-10-27
2014年,2014-05-12,2014-05-12,0.0200,2014-05-14
2013年,2013-12-02,2013-12-02,0.0110,2013-12-04
2013年,2013-09-30,2013-09-30,0.0180,2013-10-09
2013年,2013-06-07,2013-06-07,0.0120,2013-06-14
2013年,2013-02-08,2013-02-08,0.0060,2013-02-19
