年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-03-17,2021-03-17,0.1650,2021-03-18
2020年,2020-09-04,2020-09-04,0.0570,2020-09-07
2020年,2020-07-21,2020-07-21,0.0590,2020-07-22
2018年,2018-09-20,2018-09-20,0.0290,2018-09-21
2018年,2018-06-27,2018-06-27,0.0380,2018-06-28
2018年,2018-05-02,2018-05-02,0.0460,2018-05-03
2017年,2017-12-18,2017-12-18,0.2340,2017-12-19
2016年,2016-09-23,2016-09-23,0.4370,2016-09-26
2015年,2015-01-22,2015-01-22,0.0720,2015-01-23
2014年,2014-01-10,2014-01-10,0.0600,2014-01-13
2012年,2012-01-18,2012-01-18,0.0120,2012-01-19
2011年,2011-03-03,2011-03-03,0.0400,2011-03-04
2007年,2007-01-31,2007-01-31,1.0400,2007-02-01
2006年,2006-05-23,2006-05-23,0.1500,2006-05-24
2006年,2006-04-24,2006-04-24,0.0800,2006-04-25
2006年,2006-04-06,2006-04-06,0.0200,2006-04-07
2006年,2006-03-01,2006-03-01,0.0200,2006-03-02
