年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-11-09,2020-11-09,0.0100,2020-11-10
2020年,2020-07-07,2020-07-07,0.0100,2020-07-08
2020年,2020-04-01,2020-04-01,0.0100,2020-04-02
2020年,2020-01-15,2020-01-15,0.0100,2020-01-16
2019年,2019-10-23,2019-10-23,0.0100,2019-10-24
2019年,2019-06-13,2019-06-13,0.0100,2019-06-14
2019年,2019-03-28,2019-03-28,0.0250,2019-03-29
2018年,2018-03-15,2018-03-15,0.0080,2018-03-16
2017年,2017-12-18,2017-12-18,0.0090,2017-12-19
2017年,2017-09-12,2017-09-12,0.0090,2017-09-13
2017年,2017-06-23,2017-06-23,0.0104,2017-06-26
