年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-11-30,2020-11-30,0.2665,2020-12-01
2020年,2020-06-23,2020-06-23,0.2686,2020-06-24
2020年,2020-03-24,2020-03-24,0.0307,2020-03-25
2020年,2020-01-09,2020-01-09,0.0943,2020-01-10
2016年,2016-01-21,2016-01-21,0.2770,2016-01-22
2015年,2015-01-21,2015-01-21,0.1449,2015-01-22
2011年,2011-01-10,2011-01-11,0.0800,2011-01-12
2007年,2007-08-28,2007-08-29,0.1100,2007-08-30
2007年,2007-07-04,2007-07-05,0.4120,2007-07-06
2007年,2007-02-02,2007-02-05,0.8500,2007-02-06
2006年,2006-09-25,2006-09-26,0.0800,2006-09-27
2006年,2006-07-20,2006-07-21,0.1000,2006-07-24
2006年,2006-04-13,2006-04-14,0.0200,2006-04-17
