净值日期,累计净值,单位净值,日增长率,复权净值
2017-03-10,1.0001,1.0001,0.0,1.0001
2017-03-13,1.0004,1.0004,0.03,1.0004
2017-03-14,1.0005,1.0005,0.01,1.0005
2017-03-15,1.0005,1.0005,0.0,1.0005
2017-03-16,1.0007,1.0007,0.02,1.0007
2017-03-17,1.0008,1.0008,0.01,1.0008
2017-03-20,1.0011,1.0011,0.03,1.0011
2017-03-21,1.0012,1.0012,0.01,1.0012
2017-03-22,1.0014,1.0014,0.02,1.0014
2017-03-23,1.0015,1.0015,0.01,1.0015
2017-03-24,1.0016,1.0016,0.01,1.0016
2017-03-27,1.0019,1.0019,0.03,1.0019
2017-03-28,1.002,1.002,0.01,1.002
2017-03-29,1.0022,1.0022,0.02,1.0022
2017-03-30,1.0023,1.0023,0.01,1.0023
2017-03-31,1.0024,1.0024,0.01,1.0024
2017-04-05,1.003,1.003,0.0599,1.003
2017-04-06,1.0031,1.0031,0.01,1.0031
2017-04-07,1.0032,1.0032,0.01,1.0032
2017-04-10,1.0035,1.0035,0.0299,1.0035
2017-04-11,1.0036,1.0036,0.01,1.0036
2017-04-12,1.0038,1.0038,0.0199,1.0038
2017-04-13,1.0039,1.0039,0.01,1.0039
2017-04-14,1.004,1.004,0.01,1.004
2017-04-17,1.0043,1.0043,0.0299,1.0043
2017-04-18,1.0044,1.0044,0.01,1.0044
2017-04-19,1.0045,1.0045,0.01,1.0045
2017-04-20,1.0046,1.0046,0.01,1.0046
2017-04-21,1.0047,1.0047,0.01,1.0047
2017-04-24,1.0051,1.0051,0.0398,1.0051
2017-04-25,1.0052,1.0052,0.0099,1.0052
2017-04-26,1.0053,1.0053,0.0099,1.0053
2017-04-27,1.0054,1.0054,0.0099,1.0054
2017-04-28,1.0055,1.0055,0.0099,1.0055
2017-05-02,1.0059,1.0059,0.0398,1.0059
2017-05-03,1.006,1.006,0.0099,1.006
2017-05-04,1.0061,1.0061,0.0099,1.0061
2017-05-05,1.0063,1.0063,0.0199,1.0063
2017-05-08,1.0066,1.0066,0.0298,1.0066
2017-05-09,1.0067,1.0067,0.0099,1.0067
2017-05-10,1.0068,1.0068,0.0099,1.0068
2017-05-11,1.0069,1.0069,0.0099,1.0069
2017-05-12,1.007,1.007,0.0099,1.007
2017-05-15,1.0073,1.0073,0.0298,1.0073
2017-05-16,1.0073,1.0073,0.0,1.0073
2017-05-17,1.0074,1.0074,0.0099,1.0074
2017-05-18,1.0075,1.0075,0.0099,1.0075
2017-05-19,1.0075,1.0075,0.0,1.0075
2017-05-22,1.0079,1.0079,0.0397,1.0079
2017-05-23,1.008,1.008,0.0099,1.008
2017-05-24,1.008,1.008,0.0,1.008
2017-05-25,1.0081,1.0081,0.0099,1.0081
2017-05-26,1.0082,1.0007,0.0099,1.0082
2017-05-31,1.0088,1.0013,0.06,1.0088
2017-06-01,1.0089,1.0014,0.01,1.0089008799999999
2017-06-02,1.009,1.0015,0.01,1.0090017700879998
2017-06-05,1.0093,1.0018,0.03,1.0093044706190262
2017-06-06,1.0093,1.0018,0.0,1.0093044706190262
2017-06-07,1.0094,1.0019,0.01,1.009405401066088
2017-06-08,1.0095,1.002,0.01,1.0095063416061947
2017-06-09,1.0096,1.0021,0.01,1.0096072922403554
2017-06-12,1.0101,1.0026,0.0499,1.0101110862791833
2017-06-13,1.0103,1.0028,0.0199,1.0103120983853529
2017-06-14,1.0111,1.0036,0.0798,1.0111183274398645
2017-06-15,1.0113,1.0038,0.0199,1.0113195399870252
2017-06-16,1.0116,1.0041,0.0299,1.0116219245294813
