年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-01-21,2020-01-21,0.0010,2020-01-22
2016年,2016-01-21,2016-01-21,0.0100,2016-01-22
2015年,2015-03-26,2015-03-26,0.0100,2015-03-27
2014年,2014-01-21,2014-01-21,0.0100,2014-01-22
2011年,2011-01-18,2011-01-18,0.0200,2011-01-19
2010年,2010-01-13,2010-01-13,0.0200,2010-01-14
2006年,2006-06-06,2006-06-06,0.1000,2006-06-07
2004年,2004-05-17,2004-05-17,0.0500,2004-05-18
2004年,2004-03-08,2004-03-08,0.0400,2004-03-10
2003年,2003-06-23,2003-06-23,0.0180,2003-06-25
2002年,2002-06-24,2002-06-24,0.0220,2002-06-25
