年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-03-23,2020-03-23,0.0422,2020-03-25
2019年,2019-01-29,2019-01-29,0.0404,2019-01-31
2018年,2018-01-29,2018-01-29,0.0150,2018-01-31
2017年,2017-03-28,2017-03-28,0.0003,2017-03-30
2016年,2016-01-19,2016-01-19,0.0910,2016-01-21
2015年,2015-01-20,2015-01-20,0.0800,2015-01-22
2014年,2014-01-15,2014-01-15,0.0340,2014-01-17
2012年,2012-12-20,2012-12-20,0.0300,2012-12-24
2010年,2010-04-30,2010-04-30,0.0500,2010-05-05
2009年,2009-12-28,2009-12-28,0.0300,2009-12-30
2009年,2009-04-20,2009-04-20,0.0470,2009-04-22
2008年,2008-01-08,2008-01-08,0.0160,2008-01-10
2007年,2007-09-24,2007-09-24,0.0030,2007-09-25
2007年,2007-06-25,2007-06-25,0.0040,2007-06-26
2007年,2007-03-05,2007-03-05,0.0060,2007-03-06
2006年,2006-11-28,2006-11-28,0.0020,2006-11-29
2006年,2006-09-25,2006-09-25,0.0010,2006-09-26
2006年,2006-07-17,2006-07-17,0.0010,2006-07-18
