年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-28,2020-12-28,0.4900,2020-12-29
2020年,2020-03-16,2020-03-16,0.2190,2020-03-17
2019年,2019-09-19,2019-09-19,0.0580,2019-09-20
2018年,2018-06-27,2018-06-27,0.0550,2018-06-28
2017年,2017-12-18,2017-12-18,0.2360,2017-12-19
2016年,2016-03-08,2016-03-08,0.0200,2016-03-09
2015年,2015-01-22,2015-01-22,0.2600,2015-01-23
2014年,2014-01-14,2014-01-14,0.0150,2014-01-15
2011年,2011-03-22,2011-03-22,0.0210,2011-03-23
2010年,2010-12-14,2010-12-14,0.1000,2010-12-15
2010年,2010-05-10,2010-05-10,0.0600,2010-05-11
2008年,2008-04-02,2008-04-02,0.1000,2008-04-03
