年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-24,2020-12-24,0.1820,2020-12-25
2020年,2020-08-27,2020-08-27,0.0360,2020-08-28
2020年,2020-06-23,2020-06-23,0.0680,2020-06-24
2016年,2016-01-20,2016-01-20,0.1800,2016-01-21
2015年,2015-04-01,2015-04-01,0.0900,2015-04-02
2014年,2014-03-21,2014-03-21,0.0210,2014-03-24
2011年,2011-03-07,2011-03-07,0.0150,2011-03-09
2010年,2010-03-10,2010-03-10,0.2200,2010-03-12
2008年,2008-12-22,2008-12-22,0.0030,2008-12-24
2007年,2007-01-05,2007-01-05,0.0800,2007-01-08
2006年,2006-12-20,2006-12-20,0.7600,2006-12-22
2006年,2006-04-12,2006-04-12,0.0500,2006-04-14
