年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-12,2021-01-12,0.0050,2021-01-14
2020年,2020-12-14,2020-12-14,0.0050,2020-12-16
2020年,2020-11-13,2020-11-13,0.0050,2020-11-17
2020年,2020-10-22,2020-10-22,0.0040,2020-10-26
2020年,2020-09-14,2020-09-14,0.0050,2020-09-16
2020年,2020-08-14,2020-08-14,0.0070,2020-08-18
2020年,2020-07-14,2020-07-14,0.0050,2020-07-16
2020年,2020-06-12,2020-06-12,0.0060,2020-06-16
2020年,2020-05-19,2020-05-19,0.0060,2020-05-21
2020年,2020-04-14,2020-04-14,0.0050,2020-04-16
2020年,2020-03-10,2020-03-10,0.0090,2020-03-12
2020年,2020-02-14,2020-02-14,0.0060,2020-02-18
2020年,2020-01-14,2020-01-14,0.0040,2020-01-16
2019年,2019-12-13,2019-12-13,0.0050,2019-12-17
2019年,2019-11-13,2019-11-13,0.0070,2019-11-15
2019年,2019-10-21,2019-10-21,0.0050,2019-10-23
2019年,2019-09-16,2019-09-16,0.0050,2019-09-18
2019年,2019-08-14,2019-08-14,0.0040,2019-08-16
2019年,2019-07-12,2019-07-12,0.0040,2019-07-16
2019年,2019-06-17,2019-06-17,0.0060,2019-06-19
2019年,2019-05-17,2019-05-17,0.0040,2019-05-21
2019年,2019-04-15,2019-04-15,0.0040,2019-04-17
2019年,2019-03-14,2019-03-14,0.0060,2019-03-18
2019年,2019-02-21,2019-02-21,0.0020,2019-02-25
2018年,2018-10-19,2018-10-19,0.0040,2018-10-23
2018年,2018-09-14,2018-09-14,0.0040,2018-09-18
2018年,2018-08-14,2018-08-14,0.0020,2018-08-16
2017年,2017-10-20,2017-10-20,0.0020,2017-10-24
2017年,2017-09-14,2017-09-14,0.0050,2017-09-18
2017年,2017-08-14,2017-08-14,0.0040,2017-08-16
2017年,2017-07-14,2017-07-14,0.0050,2017-07-18
2017年,2017-06-14,2017-06-14,0.0040,2017-06-16
2017年,2017-05-15,2017-05-15,0.0030,2017-05-17
2017年,2017-04-18,2017-04-18,0.0020,2017-04-20
2017年,2017-03-14,2017-03-14,0.0040,2017-03-16
2017年,2017-02-16,2017-02-16,0.0040,2017-02-20
2017年,2017-01-16,2017-01-16,0.0060,2017-01-18
2016年,2016-12-14,2016-12-14,0.0070,2016-12-16
2016年,2016-11-14,2016-11-14,0.0060,2016-11-16
2016年,2016-10-21,2016-10-21,0.0040,2016-10-25
2016年,2016-09-14,2016-09-14,0.0050,2016-09-20
2016年,2016-08-12,2016-08-12,0.0040,2016-08-16
2016年,2016-07-14,2016-07-14,0.0050,2016-07-18
2016年,2016-06-16,2016-06-16,0.0040,2016-06-20
2016年,2016-05-16,2016-05-16,0.0020,2016-05-18
2016年,2016-04-15,2016-04-15,0.0070,2016-04-19
2016年,2016-01-15,2016-01-15,0.0110,2016-01-19
2015年,2015-12-14,2015-12-14,0.0020,2015-12-16
2015年,2015-11-13,2015-11-13,0.0050,2015-11-17
2015年,2015-10-21,2015-10-21,0.0050,2015-10-23
2015年,2015-09-15,2015-09-15,0.0040,2015-09-17
2015年,2015-08-14,2015-08-14,0.0030,2015-08-18
2015年,2015-06-12,2015-06-12,0.0150,2015-06-16
2015年,2015-05-15,2015-05-15,0.0100,2015-05-19
2015年,2015-04-15,2015-04-15,0.0100,2015-04-17
2015年,2015-03-13,2015-03-13,0.0100,2015-03-17
2015年,2015-02-12,2015-02-12,0.0100,2015-02-16
2015年,2015-01-16,2015-01-16,0.0150,2015-01-20
2014年,2014-12-12,2014-12-12,0.0070,2014-12-16
2014年,2014-11-13,2014-11-13,0.0090,2014-11-17
2014年,2014-10-21,2014-10-21,0.0070,2014-10-23
2014年,2014-09-11,2014-09-11,0.0030,2014-09-15
2014年,2014-08-15,2014-08-15,0.0110,2014-08-19
2014年,2014-07-14,2014-07-14,0.0050,2014-07-16
2014年,2014-06-16,2014-06-16,0.0060,2014-06-18
