年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-18,2020-12-18,0.1660,2020-12-22
2020年,2020-06-18,2020-06-18,0.2000,2020-06-22
2019年,2019-12-25,2019-12-25,0.2000,2019-12-27
2018年,2018-06-25,2018-06-25,0.0480,2018-06-27
2017年,2017-12-25,2017-12-25,0.1000,2017-12-27
2017年,2017-06-27,2017-06-27,0.0400,2017-06-29
2016年,2016-12-28,2016-12-28,0.0400,2016-12-30
2016年,2016-06-29,2016-06-29,0.0700,2016-07-01
2015年,2015-12-30,2015-12-30,0.2300,2016-01-04
2015年,2015-06-25,2015-06-25,0.4800,2015-06-29
2014年,2014-12-19,2014-12-19,0.1100,2014-12-23
2014年,2014-02-19,2014-02-19,0.0200,2014-02-21
