年份,权益登记日,除息日,每份分红,分红发放日
2019年,2019-11-20,2019-11-20,0.0480,2019-11-21
2018年,2018-11-29,2018-11-29,0.0140,2018-11-30
2018年,2018-08-23,2018-08-23,0.0100,2018-08-24
2018年,2018-05-21,2018-05-21,0.0060,2018-05-22
2018年,2018-03-19,2018-03-19,0.0070,2018-03-20
2018年,2018-01-29,2018-01-29,0.0030,2018-01-30
2017年,2017-12-20,2017-12-20,0.0020,2017-12-21
2017年,2017-10-26,2017-10-26,0.0030,2017-10-27
2017年,2017-09-25,2017-09-25,0.0030,2017-09-26
2017年,2017-08-15,2017-08-15,0.0030,2017-08-16
2017年,2017-07-18,2017-07-18,0.0030,2017-07-19
2017年,2017-06-23,2017-06-23,0.0030,2017-06-26
2017年,2017-05-26,2017-05-26,0.0075,2017-05-31
