年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-07,2020-12-07,0.2600,2020-12-08
2019年,2019-06-21,2019-06-21,0.0210,2019-06-24
2018年,2018-02-07,2018-02-07,0.0690,2018-02-08
2017年,2017-03-30,2017-03-30,0.0210,2017-03-31
2016年,2016-09-05,2016-09-05,0.0180,2016-09-06
2016年,2016-06-27,2016-06-27,0.0260,2016-06-28
2016年,2016-01-25,2016-01-25,0.0260,2016-01-26
2015年,2015-07-07,2015-07-07,0.1100,2015-07-08
2015年,2015-05-18,2015-05-18,0.3800,2015-05-19
2015年,2015-01-09,2015-01-09,0.1320,2015-01-12
2014年,2014-11-21,2014-11-21,0.0370,2014-11-24
2014年,2014-08-18,2014-08-18,0.0170,2014-08-19
2014年,2014-03-13,2014-03-13,0.0300,2014-03-14
2013年,2013-11-21,2013-11-21,0.0170,2013-11-22
2011年,2011-04-25,2011-04-25,0.0150,2011-04-26
2011年,2011-01-10,2011-01-10,0.0320,2011-01-11
2010年,2010-10-21,2010-10-21,0.0240,2010-10-22
2010年,2010-08-25,2010-08-25,0.0200,2010-08-26
2010年,2010-06-02,2010-06-02,0.0250,2010-06-03
2010年,2010-01-19,2010-01-19,0.0480,2010-01-20
2009年,2009-08-21,2009-08-21,0.0400,2009-08-24
2009年,2009-07-30,2009-07-30,0.0510,2009-07-31
2009年,2009-06-12,2009-06-12,0.0210,2009-06-15
2008年,2008-04-01,2008-04-01,0.0420,2008-04-02
2008年,2008-02-26,2008-02-26,0.0800,2008-02-27
2008年,2008-01-18,2008-01-18,0.1000,2008-01-21
2007年,2007-12-26,2007-12-26,0.0630,2007-12-27
2007年,2007-10-17,2007-10-17,0.0950,2007-10-18
2007年,2007-09-12,2007-09-12,0.0940,2007-09-13
2007年,2007-08-06,2007-08-06,0.0710,2007-08-07
2007年,2007-07-02,2007-07-02,0.0630,2007-07-03
2007年,2007-06-05,2007-06-05,0.0520,2007-06-06
2007年,2007-05-28,2007-05-28,0.1100,2007-05-29
2007年,2007-04-25,2007-04-25,0.0530,2007-04-26
2007年,2007-04-03,2007-04-03,0.0360,2007-04-04
2007年,2007-03-12,2007-03-12,0.0360,2007-03-13
2007年,2007-02-13,2007-02-13,0.0390,2007-02-14
2007年,2007-02-01,2007-02-01,0.0550,2007-02-02
2007年,2007-01-24,2007-01-24,0.0320,2007-01-25
2007年,2007-01-11,2007-01-11,0.0370,2007-01-12
2006年,2006-12-15,2006-12-15,0.0320,2006-12-18
2006年,2006-11-27,2006-11-27,0.0250,2006-11-28
2006年,2006-10-25,2006-10-25,0.0220,2006-10-26
2006年,2006-08-14,2006-08-14,0.0280,2006-08-15
2006年,2006-06-30,2006-06-30,0.0340,2006-07-03
2006年,2006-06-09,2006-06-09,0.0320,2006-06-12
2006年,2006-05-25,2006-05-25,0.0540,2006-05-26
2006年,2006-05-16,2006-05-16,0.0370,2006-05-17
2006年,2006-04-11,2006-04-11,0.0290,2006-04-12
2006年,2006-03-24,2006-03-24,0.0210,2006-03-27
2006年,2006-03-08,2006-03-08,0.0260,2006-03-09
2006年,2006-01-20,2006-01-20,0.0150,2006-01-23
2006年,2006-01-11,2006-01-11,0.0180,2006-01-12
2005年,2005-12-29,2005-12-29,0.0120,2005-12-30
2005年,2005-08-25,2005-08-25,0.0100,2005-08-26
2005年,2005-08-04,2005-08-04,0.0130,2005-08-05
