年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-03-24,2021-03-24,0.1900,2021-03-26
2020年,2020-03-13,2020-03-13,0.0600,2020-03-17
2018年,2018-03-27,2018-03-27,0.0700,2018-03-29
2016年,2016-02-26,2016-02-29,0.4800,2016-03-02
2015年,2015-01-20,2015-01-21,0.0870,2015-01-23
2014年,2014-01-17,2014-01-20,0.0530,2014-01-22
2011年,2011-01-19,2011-01-20,0.0450,2011-01-24
2010年,2010-01-13,2010-01-14,0.0650,2010-01-18
2007年,2007-01-25,2007-01-26,0.0939,2007-01-30
2007年,2007-01-18,2007-01-19,0.2061,2007-01-23
2007年,2007-01-11,2007-01-12,0.7300,2007-01-16
2006年,2006-04-06,2006-04-07,0.0500,2006-04-12
2006年,2006-01-18,2006-01-19,0.0400,2006-01-24
2006年,2006-01-12,2006-01-13,0.0300,2006-01-18
2005年,2005-09-21,2005-09-22,0.0200,2005-09-27
