年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-04-29,2020-04-29,0.0290,2020-04-30
2018年,2018-04-23,2018-04-23,0.0100,2018-04-24
2017年,2017-04-25,2017-04-25,0.0100,2017-04-26
2016年,2016-04-27,2016-04-27,0.3100,2016-04-28
2015年,2015-04-24,2015-04-24,0.0100,2015-04-27
2013年,2013-06-25,2013-06-25,0.2500,2013-06-26
2013年,2013-04-11,2013-04-11,0.0300,2013-04-12
2012年,2012-04-26,2012-04-26,0.0100,2012-04-27
2011年,2011-04-25,2011-04-25,0.2200,2011-04-26
2010年,2010-04-16,2010-04-16,0.2000,2010-04-19
2009年,2009-06-17,2009-06-17,0.1550,2009-06-18
2008年,2008-04-25,2008-04-25,0.2750,2008-04-28
2007年,2007-01-05,2007-01-05,0.4100,2007-01-08
2006年,2006-02-20,2006-02-20,0.0150,2006-02-21
2005年,2005-09-28,2005-09-28,0.0300,2005-09-29
2005年,2005-08-03,2005-08-03,0.0200,2005-08-04
