年份,权益登记日,除息日,每份分红,分红发放日
2013年,2013-12-03,2013-12-03,0.2700,2013-12-05
2011年,2011-09-20,2011-09-20,0.3100,2011-09-22
2010年,2010-12-23,2010-12-23,0.1600,2010-12-27
2009年,2009-08-13,2009-08-13,0.1000,2009-08-17
2007年,2007-01-29,2007-01-29,1.2800,2007-01-31
2006年,2006-08-30,2006-08-30,0.0300,2006-09-01
2006年,2006-07-12,2006-07-12,0.0300,2006-07-14
2006年,2006-06-14,2006-06-14,0.0800,2006-06-16
2006年,2006-05-22,2006-05-22,0.0300,2006-05-24
2006年,2006-04-18,2006-04-18,0.0300,2006-04-20
2006年,2006-03-30,2006-03-30,0.0300,2006-04-03
2006年,2006-03-03,2006-03-03,0.0200,2006-03-07
