年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-15,2021-01-15,0.0190,2021-01-18
2020年,2020-10-23,2020-10-23,0.0160,2020-10-26
2020年,2020-07-14,2020-07-14,0.0160,2020-07-15
2020年,2020-04-14,2020-04-14,0.0080,2020-04-15
2020年,2020-01-17,2020-01-17,0.0210,2020-01-20
2019年,2019-10-22,2019-10-22,0.0020,2019-10-23
2019年,2019-04-15,2019-04-15,0.0090,2019-04-16
2018年,2018-01-15,2018-01-15,0.0130,2018-01-16
2017年,2017-10-19,2017-10-19,0.0090,2017-10-20
2017年,2017-07-17,2017-07-17,0.0060,2017-07-18
2017年,2017-04-18,2017-04-18,0.0070,2017-04-19
2016年,2016-10-27,2016-10-27,0.0080,2016-10-28
2016年,2016-07-14,2016-07-14,0.0100,2016-07-15
2016年,2016-04-14,2016-04-14,0.0110,2016-04-15
2016年,2016-01-14,2016-01-14,0.0870,2016-01-15
2015年,2015-10-20,2015-10-20,0.0510,2015-10-21
