年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-17,2020-12-17,0.0500,2020-12-18
2019年,2019-11-06,2019-11-06,0.0500,2019-11-07
2017年,2017-12-07,2017-12-07,0.0800,2017-12-08
2016年,2016-12-26,2016-12-26,0.0300,2016-12-27
2015年,2015-11-20,2015-11-20,0.1000,2015-11-23
2014年,2014-11-20,2014-11-20,0.1000,2014-11-21
2010年,2010-09-07,2010-09-07,0.3200,2010-09-08
2009年,2009-12-25,2009-12-25,0.1000,2009-12-28
2008年,2008-01-22,2008-01-23,0.5000,2008-01-24
2007年,2007-01-11,2007-01-12,0.8310,2007-01-17
2006年,2006-09-26,2006-09-27,0.0300,2006-09-28
2006年,2006-08-30,2006-08-31,0.0300,2006-09-01
2006年,2006-07-25,2006-07-26,0.0300,2006-07-27
2006年,2006-06-07,2006-06-08,0.0300,2006-06-09
2006年,2006-05-26,2006-05-29,0.0300,2006-05-30
2006年,2006-05-18,2006-05-19,0.0300,2006-05-22
2006年,2006-05-09,2006-05-10,0.0300,2006-05-11
2006年,2006-04-20,2006-04-21,0.0200,2006-04-24
2004年,2004-12-27,2004-12-28,0.0300,2004-12-29
2004年,2004-06-24,2004-06-25,0.0300,2004-06-28
2003年,2003-06-24,2003-06-25,0.0330,2003-06-26
2002年,2002-06-25,2002-06-26,0.0270,2002-06-27
