年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-21,2021-01-21,0.0572,2021-01-22
2020年,2020-07-20,2020-07-20,0.0540,2020-07-21
2020年,2020-01-17,2020-01-17,0.0180,2020-01-20
2019年,2019-10-23,2019-10-23,0.0440,2019-10-24
2018年,2018-10-24,2018-10-24,0.0410,2018-10-25
2017年,2017-07-19,2017-07-19,0.0230,2017-07-20
2016年,2016-01-20,2016-01-20,0.1900,2016-01-21
2015年,2015-01-22,2015-01-22,0.1300,2015-01-23
2014年,2014-07-18,2014-07-18,0.0300,2014-07-21
2014年,2014-01-21,2014-01-21,0.0530,2014-01-22
2013年,2013-01-23,2013-01-23,0.0081,2013-01-24
