净值日期,累计净值,单位净值,日增长率,复权净值
2012-03-15,1.0,1.0,0.0,1.0
2012-03-16,1.0,1.0,0.0,1.0
2012-03-23,1.0,1.0,0.0,1.0
2012-03-30,1.001,1.001,0.1,1.001
2012-04-06,1.002,1.002,0.0999,1.002
2012-04-13,1.003,1.003,0.0998,1.003
2012-04-16,1.003,1.003,0.0,1.003
2012-04-17,1.003,1.003,0.0,1.003
2012-04-18,1.003,1.003,0.0,1.003
2012-04-19,1.004,1.004,0.0997,1.004
2012-04-20,1.005,1.005,0.0996,1.005
2012-04-23,1.005,1.005,0.0,1.005
2012-04-24,1.006,1.006,0.0995,1.006
2012-04-25,1.006,1.006,0.0,1.006
2012-04-26,1.006,1.006,0.0,1.006
2012-04-27,1.006,1.006,0.0,1.006
2012-05-02,1.007,1.007,0.0994,1.007
2012-05-03,1.007,1.007,0.0,1.007
2012-05-04,1.008,1.008,0.0993,1.008
2012-05-07,1.008,1.008,0.0,1.008
2012-05-08,1.008,1.008,0.0,1.008
2012-05-09,1.007,1.007,-0.0992,1.007
2012-05-10,1.007,1.007,0.0,1.007
2012-05-11,1.008,1.008,0.0993,1.008
2012-05-14,1.009,1.009,0.0992,1.009
2012-05-15,1.009,1.009,0.0,1.009
2012-05-16,1.008,1.008,-0.0991,1.008
2012-05-17,1.01,1.01,0.1984,1.01
2012-05-18,1.009,1.009,-0.099,1.009
2012-05-21,1.01,1.01,0.0991,1.01
2012-05-22,1.013,1.013,0.297,1.013
2012-05-23,1.014,1.014,0.0987,1.014
2012-05-24,1.014,1.014,0.0,1.014
2012-05-25,1.013,1.013,-0.0986,1.013
2012-05-28,1.017,1.017,0.3949,1.017
2012-05-29,1.02,1.02,0.295,1.02
2012-05-30,1.021,1.021,0.098,1.021
2012-05-31,1.021,1.021,0.0,1.021
2012-06-01,1.023,1.023,0.1959,1.023
2012-06-04,1.019,1.019,-0.391,1.019
2012-06-05,1.019,1.019,0.0,1.019
2012-06-06,1.019,1.019,0.0,1.019
2012-06-07,1.02,1.02,0.0981,1.02
2012-06-08,1.023,1.023,0.2941,1.023
2012-06-11,1.028,1.028,0.4888,1.028
2012-06-12,1.03,1.03,0.1946,1.03
2012-06-13,1.033,1.033,0.2913,1.033
2012-06-14,1.03,1.03,-0.2904,1.03
2012-06-15,1.031,1.031,0.0971,1.031
2012-06-18,1.034,1.034,0.291,1.034
2012-06-19,1.031,1.031,-0.2901,1.031
2012-06-20,1.029,1.029,-0.194,1.029
2012-06-21,1.025,1.025,-0.3887,1.025
2012-06-25,1.021,1.021,-0.3902,1.021
2012-06-26,1.021,1.021,0.0,1.021
2012-06-27,1.022,1.022,0.0979,1.022
2012-06-28,1.021,1.021,-0.0978,1.021
2012-06-29,1.024,1.024,0.2938,1.024
2012-06-30,1.024,1.024,0.0,1.024
2012-07-02,1.026,1.026,0.1953,1.026
2012-07-03,1.026,1.026,0.0,1.026
2012-07-04,1.028,1.028,0.1949,1.028
2012-07-05,1.024,1.024,-0.3891,1.024
2012-07-06,1.03,1.03,0.5859,1.03
2012-07-09,1.032,1.032,0.1942,1.032
2012-07-10,1.03,1.03,-0.1938,1.03
2012-07-11,1.033,1.033,0.2913,1.033
2012-07-12,1.034,1.034,0.0968,1.034
2012-07-13,1.035,1.035,0.0967,1.035
2012-07-16,1.031,1.031,-0.3865,1.031
2012-07-17,1.029,1.029,-0.194,1.029
2012-07-18,1.031,1.031,0.1944,1.031
2012-07-19,1.033,1.033,0.194,1.033
2012-07-20,1.03,1.03,-0.2904,1.03
2012-07-23,1.028,1.028,-0.1942,1.028
2012-07-24,1.028,1.028,0.0,1.028
2012-07-25,1.025,1.025,-0.2918,1.025
2012-07-26,1.023,1.023,-0.1951,1.023
2012-07-27,1.022,1.022,-0.0978,1.022
2012-07-30,1.021,1.021,-0.0978,1.021
2012-07-31,1.02,1.02,-0.0979,1.02
2012-08-01,1.023,1.023,0.2941,1.023
2012-08-02,1.021,1.021,-0.1955,1.021
2012-08-03,1.023,1.023,0.1959,1.023
2012-08-06,1.026,1.026,0.2933,1.026
2012-08-07,1.027,1.027,0.0975,1.027
2012-08-08,1.026,1.026,-0.0974,1.026
2012-08-09,1.03,1.03,0.3899,1.03
2012-08-10,1.028,1.028,-0.1942,1.028
2012-08-13,1.024,1.024,-0.3891,1.024
2012-08-14,1.027,1.027,0.293,1.027
2012-08-15,1.025,1.025,-0.1947,1.025
2012-08-16,1.025,1.025,0.0,1.025
2012-08-17,1.022,1.022,-0.2927,1.022
2012-08-20,1.021,1.021,-0.0978,1.021
2012-08-21,1.022,1.022,0.0979,1.022
2012-08-22,1.02,1.02,-0.1957,1.02
2012-08-23,1.017,1.017,-0.2941,1.017
2012-08-24,1.015,1.015,-0.1967,1.015
2012-08-27,1.012,1.012,-0.2956,1.012
2012-08-28,1.009,1.009,-0.2964,1.009
2012-08-29,1.007,1.007,-0.1982,1.007
2012-08-30,1.003,1.003,-0.3972,1.003
2012-08-31,1.004,1.004,0.0997,1.004
2012-09-03,1.006,1.006,0.1992,1.006
2012-09-04,1.007,1.007,0.0994,1.007
2012-09-05,1.004,1.004,-0.2979,1.004
2012-09-06,1.004,1.004,0.0,1.004
2012-09-07,1.01,1.01,0.5976,1.01
2012-09-10,1.01,1.01,0.0,1.01
2012-09-11,1.008,1.008,-0.198,1.008
2012-09-12,1.009,1.009,0.0992,1.009
2012-09-13,1.006,1.006,-0.2973,1.006
2012-09-14,1.004,1.004,-0.1988,1.004
2012-09-17,0.998,0.998,-0.5976,0.998
2012-09-18,0.997,0.997,-0.1002,0.997
2012-09-19,0.996,0.996,-0.1003,0.996
2012-09-20,0.992,0.992,-0.4016,0.992
2012-09-21,0.99,0.99,-0.2016,0.99
2012-09-24,0.991,0.991,0.101,0.991
2012-09-25,0.993,0.993,0.2018,0.993
2012-09-26,0.992,0.992,-0.1007,0.992
2012-09-27,0.995,0.995,0.3024,0.995
2012-09-28,1.001,1.001,0.603,1.001
2012-09-30,1.001,1.001,0.0,1.001
2012-10-08,1.0,1.0,-0.0999,1.0
2012-10-09,1.005,1.005,0.5,1.005
2012-10-10,1.006,1.006,0.0995,1.006
2012-10-11,1.005,1.005,-0.0994,1.005
2012-10-12,1.004,1.004,-0.0995,1.004
2012-10-15,1.002,1.002,-0.1992,1.002
2012-10-16,1.004,1.004,0.1996,1.004
2012-10-17,1.005,1.005,0.0996,1.005
2012-10-18,1.012,1.012,0.6965,1.012
2012-10-19,1.012,1.012,0.0,1.012
2012-10-22,1.013,1.013,0.0988,1.013
2012-10-23,1.009,1.009,-0.3949,1.009
2012-10-24,1.006,1.006,-0.2973,1.006
2012-10-25,1.003,1.003,-0.2982,1.003
2012-10-26,1.001,1.001,-0.1994,1.001
2012-10-29,1.001,1.001,0.0,1.001
2012-10-30,1.004,1.004,0.2997,1.004
2012-10-31,1.006,1.006,0.1992,1.006
2012-11-01,1.009,1.009,0.2982,1.009
2012-11-02,1.009,1.009,0.0,1.009
2012-11-05,1.008,1.008,-0.0991,1.008
2012-11-06,1.007,1.007,-0.0992,1.007
2012-11-07,1.007,1.007,0.0,1.007
2012-11-08,1.007,1.007,0.0,1.007
2012-11-09,1.006,1.006,-0.0993,1.006
2012-11-12,1.007,1.007,0.0994,1.007
2012-11-13,1.005,1.005,-0.1986,1.005
2012-11-14,1.006,1.006,0.0995,1.006
2012-11-15,1.006,1.006,0.0,1.006
2012-11-16,1.004,1.004,-0.1988,1.004
2012-11-19,1.005,1.005,0.0996,1.005
2012-11-20,1.006,1.006,0.0995,1.006
2012-11-21,1.008,1.008,0.1988,1.008
2012-11-22,1.007,1.007,-0.0992,1.007
2012-11-23,1.009,1.009,0.1986,1.009
2012-11-26,1.009,1.009,0.0,1.009
2012-11-27,1.008,1.008,-0.0991,1.008
2012-11-28,1.007,1.007,-0.0992,1.007
2012-11-29,1.006,1.006,-0.0993,1.006
2012-11-30,1.009,1.009,0.2982,1.009
2012-12-03,1.008,1.008,-0.0991,1.008
2012-12-04,1.011,1.011,0.2976,1.011
2012-12-05,1.016,1.016,0.4946,1.016
2012-12-06,1.017,1.017,0.0984,1.017
2012-12-07,1.02,1.02,0.295,1.02
2012-12-10,1.023,1.023,0.2941,1.023
2012-12-11,1.02,1.02,-0.2933,1.02
2012-12-12,1.021,1.021,0.098,1.021
2012-12-13,1.019,1.019,-0.1959,1.019
2012-12-14,1.028,1.028,0.8832,1.028
2012-12-17,1.028,1.028,0.0,1.028
2012-12-18,1.027,1.027,-0.0973,1.027
2012-12-19,1.026,1.026,-0.0974,1.026
2012-12-20,1.027,1.027,0.0975,1.027
2012-12-21,1.028,1.028,0.0974,1.028
2012-12-24,1.028,1.028,0.0,1.028
