年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-10-20,2020-10-20,0.0350,2020-10-22
2020年,2020-07-09,2020-07-09,0.0290,2020-07-13
2020年,2020-01-13,2020-01-13,0.0192,2020-01-15
2016年,2016-01-18,2016-01-18,0.0257,2016-01-20
2015年,2015-07-15,2015-07-15,0.0252,2015-07-17
2015年,2015-04-13,2015-04-13,0.0282,2015-04-15
2015年,2015-01-14,2015-01-14,0.0280,2015-01-16
2014年,2014-10-17,2014-10-17,0.0290,2014-10-21
2014年,2014-07-11,2014-07-11,0.0160,2014-07-15
2014年,2014-04-11,2014-04-11,0.0070,2014-04-15
2013年,2013-11-22,2013-11-22,0.0030,2013-11-26
2013年,2013-08-06,2013-08-06,0.0080,2013-08-08
2013年,2013-03-15,2013-03-15,0.0080,2013-03-19
2012年,2012-12-10,2012-12-10,0.0080,2012-12-12
