年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-12,2021-01-12,0.3100,2021-01-13
2020年,2020-01-16,2020-01-16,0.1850,2020-01-17
2018年,2018-01-19,2018-01-19,0.0500,2018-01-22
2016年,2016-01-21,2016-01-21,0.1400,2016-01-22
2015年,2015-01-13,2015-01-13,0.1500,2015-01-14
2013年,2013-12-10,2013-12-10,0.3200,2013-12-11
2011年,2011-01-11,2011-01-11,0.1380,2011-01-12
2010年,2010-01-12,2010-01-12,0.1280,2010-01-13
2009年,2009-08-18,2009-08-18,0.6200,2009-08-19
2008年,2008-12-29,2008-12-29,0.0600,2008-12-30
2008年,2008-12-03,2008-12-03,0.2000,2008-12-04
2008年,2008-04-25,2008-04-25,0.1800,2008-04-28
