年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-24,2020-12-24,0.0100,2020-12-25
2020年,2020-07-14,2020-07-14,0.0100,2020-07-15
2020年,2020-04-14,2020-04-14,0.0100,2020-04-15
2020年,2020-01-17,2020-01-17,0.0110,2020-01-20
2019年,2019-10-22,2019-10-22,0.0100,2019-10-23
2019年,2019-03-26,2019-03-26,0.0140,2019-03-27
2018年,2018-07-16,2018-07-16,0.0090,2018-07-17
2018年,2018-04-16,2018-04-16,0.0070,2018-04-17
2016年,2016-10-27,2016-10-27,0.0130,2016-10-28
2016年,2016-07-14,2016-07-14,0.0160,2016-07-15
2016年,2016-04-14,2016-04-14,0.0130,2016-04-15
2016年,2016-01-14,2016-01-14,0.0110,2016-01-15
2015年,2015-10-20,2015-10-20,0.0090,2015-10-21
2015年,2015-07-10,2015-07-10,0.0150,2015-07-13
