年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-04,2021-01-04,0.1400,2021-01-06
2020年,2020-10-09,2020-10-09,0.1200,2020-10-13
2020年,2020-07-01,2020-07-01,0.0600,2020-07-03
2020年,2020-01-02,2020-01-02,0.0790,2020-01-06
2019年,2019-10-08,2019-10-08,0.0560,2019-10-10
2019年,2019-04-01,2019-04-01,0.0150,2019-04-03
2018年,2018-04-02,2018-04-02,0.0900,2018-04-04
2018年,2018-01-02,2018-01-02,0.0650,2018-01-04
2017年,2017-10-09,2017-10-09,0.0500,2017-10-11
2017年,2017-07-03,2017-07-03,0.0370,2017-07-05
2015年,2015-07-01,2015-07-01,0.0750,2015-07-03
