年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-29,2021-01-29,0.0100,2021-02-01
2020年,2020-01-16,2020-01-16,0.0100,2020-01-17
2018年,2018-01-17,2018-01-17,0.0100,2018-01-18
2016年,2016-01-14,2016-01-14,0.0200,2016-01-15
2015年,2015-01-15,2015-01-15,0.0050,2015-01-16
2014年,2014-01-20,2014-01-20,0.0100,2014-01-21
2013年,2013-01-18,2013-01-18,0.0100,2013-01-21
2010年,2010-12-27,2010-12-27,0.0100,2010-12-28
2009年,2009-12-22,2009-12-22,0.0200,2009-12-23
2008年,2008-04-30,2008-04-30,0.0200,2008-05-05
2007年,2007-12-26,2007-12-26,0.1000,2007-12-27
2006年,2006-12-05,2006-12-05,0.8100,2006-12-06
2006年,2006-11-15,2006-11-15,0.0300,2006-11-16
2006年,2006-06-20,2006-06-20,0.0500,2006-06-21
2005年,2005-10-31,2005-10-31,0.0200,2005-11-01
2005年,2005-06-27,2005-06-27,0.0300,2005-06-29
2005年,2005-04-25,2005-04-25,0.0200,2005-04-27
2004年,2004-11-19,2004-11-19,0.0400,2004-11-23
2004年,2004-09-22,2004-09-22,0.0200,2004-09-24
2004年,2004-06-07,2004-06-07,0.0300,2004-06-09
2003年,2003-12-22,2003-12-22,0.0200,2003-12-24
2003年,2003-06-30,2003-06-30,0.0200,2003-07-02
2003年,2003-05-14,2003-05-14,0.0200,2003-05-16
