年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-12,2021-01-12,0.4686,2021-01-14
2020年,2020-01-14,2020-01-14,0.0160,2020-01-16
2018年,2018-01-15,2018-01-15,0.1536,2018-01-17
2017年,2017-01-16,2017-01-16,0.2200,2017-01-18
2016年,2016-01-15,2016-01-15,0.8780,2016-01-19
2015年,2015-01-15,2015-01-15,0.1320,2015-01-19
2012年,2012-01-10,2012-01-10,0.0700,2012-01-12
2010年,2010-11-18,2010-11-18,0.1380,2010-11-22
2007年,2007-03-29,2007-03-29,0.5100,2007-04-02
2006年,2006-12-15,2006-12-15,0.2400,2006-12-19
2006年,2006-10-10,2006-10-10,0.3000,2006-10-12
2006年,2006-04-12,2006-04-12,0.1000,2006-04-14
2006年,2006-03-15,2006-03-15,0.0500,2006-03-17
2006年,2006-02-14,2006-02-14,0.0200,2006-02-16
2006年,2006-01-13,2006-01-13,0.0150,2006-01-17
