年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-12,2021-01-12,0.0140,2021-01-14
2020年,2020-10-19,2020-10-19,0.0232,2020-10-21
2020年,2020-07-13,2020-07-13,0.0180,2020-07-15
2020年,2020-04-13,2020-04-13,0.0285,2020-04-15
2020年,2020-01-14,2020-01-14,0.0150,2020-01-16
2019年,2019-10-15,2019-10-15,0.0185,2019-10-17
2019年,2019-07-25,2019-07-25,0.0255,2019-07-29
2019年,2019-01-11,2019-01-11,0.0132,2019-01-15
2018年,2018-10-19,2018-10-19,0.0100,2018-10-23
2018年,2018-07-13,2018-07-13,0.0090,2018-07-17
2018年,2018-04-13,2018-04-13,0.0070,2018-04-17
2018年,2018-01-18,2018-01-18,0.0100,2018-01-22
2017年,2017-10-23,2017-10-23,0.0130,2017-10-25
2017年,2017-07-13,2017-07-13,0.0150,2017-07-17
2017年,2017-04-14,2017-04-14,0.0200,2017-04-18
2017年,2017-01-18,2017-01-18,0.0140,2017-01-20
2016年,2016-10-20,2016-10-20,0.0140,2016-10-24
2016年,2016-07-15,2016-07-15,0.0160,2016-07-19
2016年,2016-04-18,2016-04-18,0.0160,2016-04-20
2016年,2016-01-19,2016-01-19,0.0180,2016-01-21
2015年,2015-10-21,2015-10-21,0.0180,2015-10-23
2015年,2015-07-13,2015-07-13,0.0250,2015-07-15
2015年,2015-04-20,2015-04-20,0.0380,2015-04-22
2015年,2015-01-19,2015-01-19,0.0260,2015-01-21
2013年,2013-10-18,2013-10-18,0.0120,2013-10-22
2013年,2013-07-12,2013-07-12,0.0140,2013-07-16
2013年,2013-04-17,2013-04-17,0.0190,2013-04-19
2013年,2013-01-17,2013-01-17,0.0140,2013-01-21
2012年,2012-10-18,2012-10-18,0.0050,2012-10-22
2012年,2012-07-13,2012-07-13,0.0210,2012-07-17
2011年,2011-04-20,2011-04-20,0.0040,2011-04-22
2011年,2011-01-17,2011-01-17,0.0090,2011-01-19
2010年,2010-10-28,2010-10-28,0.0190,2010-11-01
2010年,2010-04-22,2010-04-22,0.0180,2010-04-26
2010年,2010-01-26,2010-01-26,0.0200,2010-01-28
2009年,2009-11-03,2009-11-03,0.0160,2009-11-06
2009年,2009-07-27,2009-07-27,0.0300,2009-07-30
2009年,2009-06-08,2009-06-08,0.0290,2009-06-11
2009年,2009-03-24,2009-03-24,0.0220,2009-03-27
2008年,2008-12-23,2008-12-23,0.0150,2008-12-26
2008年,2008-09-22,2008-09-22,0.0170,2008-09-25
2008年,2008-06-23,2008-06-23,0.0310,2008-06-26
