年份,权益登记日,除息日,每份分红,分红发放日
2018年,2018-01-16,2018-01-16,0.0114,2018-01-17
2017年,2017-03-27,2017-03-27,0.0040,2017-03-28
2016年,2016-12-27,2016-12-27,0.0021,2016-12-28
2016年,2016-01-19,2016-01-19,0.1070,2016-01-20
2015年,2015-01-23,2015-01-23,0.1252,2015-01-26
2013年,2013-12-27,2013-12-27,0.0420,2013-12-30
2013年,2013-01-21,2013-01-21,0.0517,2013-01-22
2011年,2011-01-19,2011-01-19,0.0500,2011-01-20
2010年,2010-01-13,2010-01-13,0.0500,2010-01-14
2009年,2009-02-26,2009-02-26,0.0400,2009-02-27
2008年,2008-12-29,2008-12-29,0.0200,2008-12-30
2008年,2008-11-11,2008-11-11,0.0200,2008-11-12
2008年,2008-03-28,2008-03-28,0.0100,2008-03-31
2008年,2008-01-23,2008-01-23,0.0760,2008-01-24
2007年,2007-03-29,2007-03-29,0.1210,2007-03-30
2005年,2005-08-30,2005-08-30,0.0120,2005-08-31
2004年,2004-04-09,2004-04-09,0.0200,2004-04-12
2004年,2004-02-10,2004-02-10,0.0100,2004-02-11
