年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-19,2021-01-19,0.0100,2021-01-20
2020年,2020-10-23,2020-10-23,0.0100,2020-10-26
2020年,2020-07-15,2020-07-15,0.0100,2020-07-16
2020年,2020-04-16,2020-04-16,0.0100,2020-04-17
2020年,2020-01-17,2020-01-17,0.0100,2020-01-20
2019年,2019-10-23,2019-10-23,0.0100,2019-10-24
2019年,2019-04-17,2019-04-17,0.0100,2019-04-18
2018年,2018-01-17,2018-01-17,0.0100,2018-01-18
2017年,2017-10-24,2017-10-24,0.0100,2017-10-25
2016年,2016-10-25,2016-10-25,0.0100,2016-10-26
2016年,2016-07-18,2016-07-18,0.0100,2016-07-19
2016年,2016-01-18,2016-01-18,0.0100,2016-01-19
2015年,2015-07-16,2015-07-16,0.0100,2015-07-17
2015年,2015-04-21,2015-04-21,0.0100,2015-04-22
2011年,2011-01-21,2011-01-21,0.0050,2011-01-24
2008年,2008-04-11,2008-04-11,0.0100,2008-04-14
2008年,2008-01-08,2008-01-08,0.3330,2008-01-09
2007年,2007-10-12,2007-10-12,0.3000,2007-10-15
2007年,2007-07-03,2007-07-03,0.2500,2007-07-04
2007年,2007-04-03,2007-04-03,0.6000,2007-04-04
2006年,2006-11-30,2006-11-30,0.0150,2006-12-01
