年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-11,2020-12-11,0.0179,2020-12-14
2020年,2020-09-15,2020-09-15,0.0179,2020-09-16
2020年,2020-06-17,2020-06-17,0.0178,2020-06-18
2020年,2020-03-18,2020-03-18,0.0307,2020-03-19
2019年,2019-06-26,2019-06-26,0.0200,2019-06-27
2019年,2019-03-22,2019-03-22,0.0238,2019-03-25
2018年,2018-12-05,2018-12-05,0.0530,2018-12-06
2018年,2018-10-29,2018-10-29,0.0545,2018-10-30
2018年,2018-06-20,2018-06-20,0.0310,2018-06-21
2017年,2017-11-23,2017-11-23,0.0150,2017-11-24
2017年,2017-04-24,2017-04-24,0.0250,2017-04-25
2016年,2016-11-03,2016-11-03,0.0250,2016-11-04
2016年,2016-07-06,2016-07-06,0.0250,2016-07-07
2015年,2015-12-23,2015-12-23,0.0660,2015-12-24
2015年,2015-03-17,2015-03-17,0.0600,2015-03-18
2014年,2014-09-26,2014-09-26,0.0500,2014-09-29
2014年,2014-03-21,2014-03-21,0.0350,2014-03-24
2010年,2010-12-27,2010-12-28,0.0430,2010-12-29
2010年,2010-02-26,2010-03-01,0.0300,2010-03-02
2009年,2009-03-26,2009-03-27,0.0100,2009-03-30
