年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-11-03,2020-11-03,0.0470,2020-11-05
2020年,2020-06-16,2020-06-16,0.0530,2020-06-18
2020年,2020-03-19,2020-03-19,0.0300,2020-03-23
2019年,2019-12-13,2019-12-13,0.0259,2019-12-17
2019年,2019-09-24,2019-09-24,0.0300,2019-09-26
2019年,2019-06-25,2019-06-25,0.0120,2019-06-27
2019年,2019-03-15,2019-03-15,0.0180,2019-03-19
2018年,2018-06-19,2018-06-19,0.0070,2018-06-21
2018年,2018-03-26,2018-03-26,0.0140,2018-03-28
2017年,2017-12-25,2017-12-25,0.0320,2017-12-27
2017年,2017-09-26,2017-09-26,0.0290,2017-09-28
2017年,2017-06-15,2017-06-15,0.0220,2017-06-19
2017年,2017-03-20,2017-03-20,0.0400,2017-03-22
