净值日期,累计净值,单位净值,日增长率,复权净值
2020-07-16,1.0,1.0,0.0,1.0
2020-07-17,1.0,1.0,0.0,1.0
2020-07-23,0.9998,0.9998,0.0,0.9998
2020-07-24,0.9999,0.9999,0.01,0.9999
2020-07-27,0.9999,0.9999,0.0,0.9999
2020-07-28,0.9999,0.9999,0.0,0.9999
2020-07-29,0.9999,0.9999,0.0,0.9999
2020-07-30,0.9999,0.9999,0.0,0.9999
2020-07-31,0.9999,0.9999,0.0,0.9999
2020-08-03,1.0,1.0,0.01,1.0
2020-08-04,0.9994,0.9994,-0.06,0.9994
2020-08-05,0.9994,0.9994,0.0,0.9994
2020-08-06,0.9994,0.9994,0.0,0.9994
2020-08-07,0.9994,0.9994,0.0,0.9994
2020-08-10,0.9994,0.9994,0.0,0.9994
2020-08-11,0.9995,0.9995,0.01,0.9995
2020-08-12,0.9995,0.9995,0.0,0.9995
2020-08-13,0.9995,0.9995,0.0,0.9995
2020-08-14,0.9996,0.9996,0.01,0.9996
2020-08-17,0.9997,0.9997,0.01,0.9997
2020-08-18,0.9995,0.9995,-0.02,0.9995
2020-08-19,0.9991,0.9991,-0.04,0.9991
2020-08-20,0.9988,0.9988,-0.03,0.9988
2020-08-21,0.9991,0.9991,0.03,0.9991
2020-08-24,0.9988,0.9988,-0.03,0.9988
2020-08-25,0.9982,0.9982,-0.06,0.9982
2020-08-26,0.9986,0.9986,0.04,0.9986
2020-08-27,0.9985,0.9985,-0.01,0.9985
2020-08-28,0.9982,0.9982,-0.03,0.9982
2020-08-31,0.9989,0.9989,0.07,0.9989
2020-09-01,0.9986,0.9986,-0.03,0.9986
2020-09-02,0.9971,0.9971,-0.15,0.9971
2020-09-03,0.9968,0.9968,-0.03,0.9968
2020-09-04,0.9965,0.9965,-0.03,0.9965
2020-09-07,0.9965,0.9965,0.0,0.9965
2020-09-08,0.9966,0.9966,0.01,0.9966
2020-09-09,0.9969,0.9969,0.03,0.9969
2020-09-10,0.9975,0.9975,0.06,0.9975
2020-09-11,0.9974,0.9974,-0.01,0.9974
2020-09-14,0.9971,0.9971,-0.03,0.9971
2020-09-15,0.9977,0.9977,0.06,0.9977
2020-09-16,0.9964,0.9964,-0.13,0.9964
2020-09-17,0.9978,0.9978,0.14,0.9978
2020-09-18,0.998,0.998,0.02,0.998
2020-09-21,0.9982,0.9982,0.02,0.9982
2020-09-22,0.9983,0.9983,0.01,0.9983
2020-09-23,0.9984,0.9984,0.01,0.9984
2020-09-24,0.9985,0.9985,0.01,0.9985
2020-09-25,0.9977,0.9977,-0.08,0.9977
2020-09-28,0.9978,0.9978,0.01,0.9978
2020-09-29,0.9977,0.9977,-0.01,0.9977
2020-09-30,0.9977,0.9977,0.0,0.9977
2020-10-09,0.9973,0.9973,-0.04,0.9973
2020-10-12,0.9974,0.9974,0.01,0.9974
2020-10-13,0.9972,0.9972,-0.02,0.9972
2020-10-14,0.9972,0.9972,0.0,0.9972
2020-10-15,0.9971,0.9971,-0.01,0.9971
2020-10-16,0.997,0.997,-0.01,0.997
2020-10-19,0.9972,0.9972,0.02,0.9972
2020-10-20,0.9973,0.9973,0.01,0.9973
2020-10-21,0.9974,0.9974,0.01,0.9974
2020-10-22,0.9974,0.9974,0.0,0.9974
2020-10-23,0.9974,0.9974,0.0,0.9974
2020-10-26,0.9974,0.9974,0.0,0.9974
2020-10-27,0.9975,0.9975,0.01,0.9975
2020-10-28,0.9975,0.9975,0.0,0.9975
2020-10-29,0.9975,0.9975,0.0,0.9975
2020-10-30,0.9975,0.9975,0.0,0.9975
2020-11-02,0.9976,0.9976,0.01,0.9976
2020-11-03,0.9979,0.9979,0.03,0.9979
2020-11-04,0.998,0.998,0.01,0.998
2020-11-05,0.9978,0.9978,-0.02,0.9978
2020-11-06,0.9974,0.9974,-0.04,0.9974
2020-11-09,0.997,0.997,-0.04,0.997
2020-11-10,0.9971,0.9971,0.01,0.9971
2020-11-11,0.997,0.997,-0.01,0.997
2020-11-12,0.9963,0.9963,-0.07,0.9963
2020-11-13,0.996,0.996,-0.03,0.996
2020-11-16,0.9962,0.9962,0.02,0.9962
2020-11-17,0.9958,0.9958,-0.04,0.9958
2020-11-18,0.9949,0.9949,-0.09,0.9949
2020-11-19,0.9942,0.9942,-0.07,0.9942
2020-11-20,0.9946,0.9946,0.04,0.9946
2020-11-23,0.9963,0.9963,0.17,0.9963
2020-11-24,0.9962,0.9962,-0.01,0.9962
2020-11-25,0.9971,0.9971,0.09,0.9971
2020-11-26,0.9965,0.9965,-0.06,0.9965
2020-11-27,0.9963,0.9963,-0.02,0.9963
2020-11-30,0.9987,0.9987,0.24,0.9987
2020-12-01,0.998,0.998,-0.07,0.998
2020-12-02,0.9974,0.9974,-0.06,0.9974
2020-12-03,0.9979,0.9979,0.05,0.9979
2020-12-04,0.9994,0.9994,0.15,0.9994
2020-12-07,0.9998,0.9998,0.04,0.9998
2020-12-08,1.0013,1.0013,0.15,1.0013
2020-12-09,1.0018,1.0018,0.05,1.0018
2020-12-10,1.0022,1.0022,0.04,1.0022
2020-12-11,1.0016,1.0016,-0.06,1.0016
2020-12-14,1.002,1.002,0.04,1.002
2020-12-15,1.0025,1.0025,0.05,1.0025
2020-12-16,1.0028,1.0028,0.03,1.0028
2020-12-17,1.0028,1.0028,0.0,1.0028
2020-12-18,1.0031,1.0031,0.03,1.0031
2020-12-21,1.0043,1.0043,0.12,1.0043
2020-12-22,1.0052,1.0052,0.09,1.0052
2020-12-23,1.0053,1.0053,0.01,1.0053
2020-12-24,1.0046,1.0046,-0.07,1.0046
2020-12-25,1.0056,1.0056,0.1,1.0056
2020-12-28,1.006,1.006,0.04,1.006
2020-12-29,1.0064,1.0064,0.04,1.0064
